# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.496948
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   6.479398e-11   4.792454e-03   1.783660e-11   18
  6.745391e-02   2.983904e-11   1.159167e-02   2.987090e-12   152
  1.090113e-01   1.037226e-11   1.224347e-02   5.158182e-13   416
  1.497134e-01   4.570086e-12   1.165022e-02   1.836498e-13   770
  1.923472e-01   2.345301e-12   1.247860e-02   7.072858e-14   1364
  2.350444e-01   1.301543e-12   1.221820e-02   3.183506e-14   1976
  2.775930e-01   8.017631e-13   1.245022e-02   1.730705e-14   2792
  3.193857e-01   5.381991e-13   1.188722e-02   1.012594e-14   3578
  3.615292e-01   3.496517e-13   1.219808e-02   6.215272e-15   4724
  4.045273e-01   2.451248e-13   1.253838e-02   4.000723e-15   6032
  4.469941e-01   1.661724e-13   1.206640e-02   2.764162e-15   7072
  4.890810e-01   1.273702e-13   1.222555e-02   2.000927e-15   8634
  5.318886e-01   9.414628e-14   1.238102e-02   1.451694e-15   10336
  5.746708e-01   6.771036e-14   1.232804e-02   1.048042e-15   11940
  6.167490e-01   4.915825e-14   1.208586e-02   8.359524e-16   13490
  6.588740e-01   3.889293e-14   1.221778e-02   6.654160e-16   15656
  7.016595e-01   3.068907e-14   1.241043e-02   5.096365e-16   18008
  7.443680e-01   2.296717e-14   1.227786e-02   4.190928e-16   19964
  7.867827e-01   1.699108e-14   1.226437e-02   3.386558e-16   22354
  8.291404e-01   1.271657e-14   1.212327e-02   2.860339e-16   24648
  8.716536e-01   9.520802e-15   1.233244e-02   2.396012e-16   27592
  9.142068e-01   6.874620e-15   1.230127e-02   2.015560e-16   30152
  9.566749e-01   5.162865e-15   1.227622e-02   1.746219e-16   33046
  9.991233e-01   3.566562e-15   1.221538e-02   1.506058e-16   35992
  1.041693e+00   2.849368e-15   1.229906e-02   1.315668e-16   39304
  1.084289e+00   2.158237e-15   1.232858e-02   1.134157e-16   42608
  1.126820e+00   1.709074e-15   1.223307e-02   1.018112e-16   45758
  1.169340e+00   1.220887e-15   1.228914e-02   8.840108e-17   49536
  1.211695e+00   9.268133e-16   1.215683e-02   7.863063e-17   52488
  1.254054e+00   5.975101e-16   1.233851e-02   7.066756e-17   57034
  1.296605e+00   3.623221e-16   1.224458e-02   6.345212e-17   60648
  1.339187e+00   2.821466e-16   1.230532e-02   5.675995e-17   65044
  1.381689e+00   1.631597e-16   1.223104e-02   5.154263e-17   68720
  1.424202e+00   1.082653e-16   1.231312e-02   4.624242e-17   73538
  1.466870e+00   1.748572e-16   1.230776e-02   4.154695e-17   78080
  1.509304e+00   7.788251e-17   1.215944e-02   3.815620e-17   81572
  1.551677e+00   7.771851e-17   1.232495e-02   3.473174e-17   87248
  1.594353e+00   1.226090e-17   1.233837e-02   3.170957e-17   92266
  1.636929e+00   5.800137e-17   1.225268e-02   2.908830e-17   96696
  1.679216e+00   8.056651e-18   1.215041e-02   2.689329e-17   100904
  1.721516e+00   -7.324604e-18   1.226207e-02   2.469886e-17   107036
  1.764192e+00   7.123710e-18   1.235795e-02   2.274595e-17   113362
  1.806923e+00   -4.138118e-17   1.228837e-02   2.107487e-17   118176
  1.849351e+00   -2.913629e-17   1.221864e-02   1.959576e-17   122944
  1.891857e+00   -1.389219e-17   1.233203e-02   1.788923e-17   129902
  1.934420e+00   -2.945920e-18   1.224691e-02   1.663907e-17   134944
  1.976863e+00   4.471436e-18   1.225992e-02   1.555085e-17   140952
  2.019285e+00   5.198910e-18   1.225865e-02   1.437841e-17   147072
