# power spectrum of delta
# redshift z=2.689654
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   1.592519e-03   4.792454e-03   2.959090e-04   18
  6.745391e-02   1.811093e-02   1.159167e-02   1.818120e-03   152
  1.090113e-01   4.178923e-02   1.224347e-02   1.917741e-03   416
  1.497134e-01   6.858504e-02   1.165022e-02   2.569830e-03   770
  1.923472e-01   9.692765e-02   1.247860e-02   2.745753e-03   1364
  2.350444e-01   1.209825e-01   1.221820e-02   2.723185e-03   1976
  2.775930e-01   1.510915e-01   1.245022e-02   2.925580e-03   2792
  3.193857e-01   1.812531e-01   1.188722e-02   3.011846e-03   3578
  3.615292e-01   2.056906e-01   1.219808e-02   3.005719e-03   4724
  4.045273e-01   2.386422e-01   1.253838e-02   3.053646e-03   6032
  4.469941e-01   2.596009e-01   1.206640e-02   3.229171e-03   7072
  4.890810e-01   2.979784e-01   1.222555e-02   3.283616e-03   8634
  5.318886e-01   3.345836e-01   1.238102e-02   3.373122e-03   10336
  5.746708e-01   3.673120e-01   1.232804e-02   3.287564e-03   11940
  6.167490e-01   3.980203e-01   1.208586e-02   3.445365e-03   13490
  6.588740e-01   4.422087e-01   1.221778e-02   3.501264e-03   15656
  7.016595e-01   4.713954e-01   1.241043e-02   3.406551e-03   18008
  7.443680e-01   5.032547e-01   1.227786e-02   3.645371e-03   19964
  7.867827e-01   5.482997e-01   1.226437e-02   3.748208e-03   22354
  8.291404e-01   5.759397e-01   1.212327e-02   3.667540e-03   24648
  8.716536e-01   6.114769e-01   1.233244e-02   3.607005e-03   27592
  9.142068e-01   6.643923e-01   1.230127e-02   3.835798e-03   30152
  9.566749e-01   6.968515e-01   1.227622e-02   3.850974e-03   33046
  9.991233e-01   7.466697e-01   1.221538e-02   3.913836e-03   35992
  1.041693e+00   7.929562e-01   1.229906e-02   3.946041e-03   39304
  1.084289e+00   8.279059e-01   1.232858e-02   4.032502e-03   42608
  1.126820e+00   8.817893e-01   1.223307e-02   4.146411e-03   45758
  1.169340e+00   9.114906e-01   1.228914e-02   4.080336e-03   49536
  1.211695e+00   9.689673e-01   1.215683e-02   4.226362e-03   52488
  1.254054e+00   1.021763e+00   1.233851e-02   4.273182e-03   57034
  1.296605e+00   1.070069e+00   1.224458e-02   4.320534e-03   60648
  1.339187e+00   1.117820e+00   1.230532e-02   4.361689e-03   65044
  1.381689e+00   1.172525e+00   1.223104e-02   4.453641e-03   68720
  1.424202e+00   1.231905e+00   1.231312e-02   4.537262e-03   73538
  1.466870e+00   1.281506e+00   1.230776e-02   4.571710e-03   78080
  1.509304e+00   1.342452e+00   1.215944e-02   4.711085e-03   81572
  1.551677e+00   1.403414e+00   1.232495e-02   4.769619e-03   87248
  1.594353e+00   1.455585e+00   1.233837e-02   4.828402e-03   92266
  1.636929e+00   1.509029e+00   1.225268e-02   4.866184e-03   96696
  1.679216e+00   1.578261e+00   1.215041e-02   4.947412e-03   100904
  1.721516e+00   1.640414e+00   1.226207e-02   5.033158e-03   107036
  1.764192e+00   1.710259e+00   1.235795e-02   5.091655e-03   113362
  1.806923e+00   1.774300e+00   1.228837e-02   5.160037e-03   118176
  1.849351e+00   1.845419e+00   1.221864e-02   5.268793e-03   122944
  1.891857e+00   1.900488e+00   1.233203e-02   5.265272e-03   129902
  1.934420e+00   1.964522e+00   1.224691e-02   5.370817e-03   134944
  1.976863e+00   2.038158e+00   1.225992e-02   5.424889e-03   140952
  2.019285e+00   2.107071e+00   1.225865e-02   5.509867e-03   147072
  2.061737e+00   2.184365e+00   1.224320e-02   5.568234e-03   153382
  2.104357e+00   2.259506e+00   1.233049e-02   5.584627e-03   160952
  2.147003e+00   2.332580e+00   1.228118e-02   5.699435e-03   166640
  2.189431e+00   2.391471e+00   1.222861e-02   5.760184e-03   172448
  2.231915e+00   2.480226e+00   1.231031e-02   5.856835e-03   180594
  2.274471e+00   2.537168e+00   1.224284e-02   5.862005e-03   186556
  2.316888e+00   2.633368e+00   1.225358e-02   6.001238e-03   193528
  2.359297e+00   2.717720e+00   1.224273e-02   6.067118e-03   200626
  2.401844e+00   2.792287e+00   1.230642e-02   6.105266e-03   209256
  2.444460e+00   2.872676e+00   1.227865e-02   6.171965e-03   216020
  2.487004e+00   2.953284e+00   1.230299e-02   6.214327e-03   223768
  2.529444e+00   3.039587e+00   1.222313e-02   6.354301e-03   230234
  2.571955e+00   3.109702e+00   1.229969e-02   6.309444e-03   239800
  2.614499e+00   3.207627e+00   1.225221e-02   6.464285e-03   246568
  2.656957e+00   3.314590e+00   1.227331e-02   6.540249e-03   254828
  2.699414e+00   3.363479e+00   1.225769e-02   6.565587e-03   263074
  2.741981e+00   3.458281e+00   1.228604e-02   6.636703e-03   272312
  2.784554e+00   3.568626e+00   1.228079e-02   6.754719e-03   280376
  2.827093e+00   3.658545e+00   1.228600e-02   6.817326e-03   288884
  2.869605e+00   3.751376e+00   1.227401e-02   6.884354e-03   297602
  2.912071e+00   3.844980e+00   1.223046e-02   6.941381e-03   305520
  2.954561e+00   3.935598e+00   1.230079e-02   6.993645e-03   315976
  2.996984e+00   4.024958e+00   1.221089e-02   7.069398e-03   322778
  3.039488e+00   4.115108e+00   1.232008e-02   7.069618e-03   335372
  3.082114e+00   4.211502e+00   1.227327e-02   7.179210e-03   343464
  3.124654e+00   4.315557e+00   1.228282e-02   7.244603e-03   352912
  3.167174e+00   4.384820e+00   1.228199e-02   7.254568e-03   362666
  3.209689e+00   4.502304e+00   1.225476e-02   7.390389e-03   371884
  3.252186e+00   4.604781e+00   1.227971e-02   7.479865e-03   382280
  3.294633e+00   4.678166e+00   1.224302e-02   7.484047e-03   390888
  3.337059e+00   4.795743e+00   1.226867e-02   7.577876e-03   402234
  3.379565e+00   4.920166e+00   1.225933e-02   7.650337e-03   412576
  3.422105e+00   5.024557e+00   1.228715e-02   7.725454e-03   423732
  3.464636e+00   5.137046e+00   1.227257e-02   7.794021e-03   433624
  3.507180e+00   5.202340e+00   1.228881e-02   7.796197e-03   445154
  3.549739e+00   5.313917e+00   1.227656e-02   7.871894e-03   455584
  3.592238e+00   5.414643e+00   1.225887e-02   7.942299e-03   465588
  3.634685e+00   5.538256e+00   1.226065e-02   8.006651e-03   476762
  3.677219e+00   5.629740e+00   1.229242e-02   8.048431e-03   489552
  3.719789e+00   5.757174e+00   1.227853e-02   8.136231e-03   500328
  3.762251e+00   5.873242e+00   1.223705e-02   8.232150e-03   509852
  3.804741e+00   5.957147e+00   1.229735e-02   8.240387e-03   524234
  3.847275e+00   6.079990e+00   1.224781e-02   8.327410e-03   534104
  3.889779e+00   6.173722e+00   1.228211e-02   8.340658e-03   547048
  3.932320e+00   6.291816e+00   1.229545e-02   8.433674e-03   559328
  3.974872e+00   6.431676e+00   1.228346e-02   8.507243e-03   571326
  4.017355e+00   6.512512e+00   1.224147e-02   8.529246e-03   581920
  4.059804e+00   6.645020e+00   1.225835e-02   8.665796e-03   594832
  4.102282e+00   6.742846e+00   1.227222e-02   8.629724e-03   608048
  4.144825e+00   6.853589e+00   1.228101e-02   8.706089e-03   621526
  4.187356e+00   6.973503e+00   1.226445e-02   8.771298e-03   633240
  4.229822e+00   7.089086e+00   1.225981e-02   8.842895e-03   645472
  4.272346e+00   7.215113e+00   1.230137e-02   8.869681e-03   660906
