# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.098916
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   4.983903e-11   4.792454e-03   1.374031e-11   18
  6.745391e-02   2.259858e-11   1.159167e-02   2.259417e-12   152
  1.090113e-01   7.904495e-12   1.224347e-02   3.955805e-13   416
  1.497134e-01   3.705455e-12   1.165022e-02   1.437416e-13   770
  1.923472e-01   2.033369e-12   1.247860e-02   5.719872e-14   1364
  2.350444e-01   1.278037e-12   1.221820e-02   2.883774e-14   1976
  2.775930e-01   8.574040e-13   1.245022e-02   1.716356e-14   2792
  3.193857e-01   6.326497e-13   1.188722e-02   1.063022e-14   3578
  3.615292e-01   4.872879e-13   1.219808e-02   7.377239e-15   4724
  4.045273e-01   3.719149e-13   1.253838e-02   4.686796e-15   6032
  4.469941e-01   2.981960e-13   1.206640e-02   3.588308e-15   7072
  4.890810e-01   2.551753e-13   1.222555e-02   2.791470e-15   8634
  5.318886e-01   2.128743e-13   1.238102e-02   2.093913e-15   10336
  5.746708e-01   1.801000e-13   1.232804e-02   1.668996e-15   11940
  6.167490e-01   1.568713e-13   1.208586e-02   1.342255e-15   13490
  6.588740e-01   1.367180e-13   1.221778e-02   1.099883e-15   15656
  7.016595e-01   1.198928e-13   1.241043e-02   8.964966e-16   18008
  7.443680e-01   1.049853e-13   1.227786e-02   7.523327e-16   19964
  7.867827e-01   9.492589e-14   1.226437e-02   6.394651e-16   22354
  8.291404e-01   8.609182e-14   1.212327e-02   5.508143e-16   24648
  8.716536e-01   7.750069e-14   1.233244e-02   4.627432e-16   27592
  9.142068e-01   7.002747e-14   1.230127e-02   4.153481e-16   30152
  9.566749e-01   6.462220e-14   1.227622e-02   3.595687e-16   33046
  9.991233e-01   5.827103e-14   1.221538e-02   3.165885e-16   35992
  1.041693e+00   5.405980e-14   1.229906e-02   2.764474e-16   39304
  1.084289e+00   4.868310e-14   1.232858e-02   2.392037e-16   42608
  1.126820e+00   4.561913e-14   1.223307e-02   2.189316e-16   45758
  1.169340e+00   4.216472e-14   1.228914e-02   1.948093e-16   49536
  1.211695e+00   3.841199e-14   1.215683e-02   1.735806e-16   52488
  1.254054e+00   3.549218e-14   1.233851e-02   1.513573e-16   57034
  1.296605e+00   3.319270e-14   1.224458e-02   1.401542e-16   60648
  1.339187e+00   3.064232e-14   1.230532e-02   1.250661e-16   65044
  1.381689e+00   2.888091e-14   1.223104e-02   1.142450e-16   68720
  1.424202e+00   2.685166e-14   1.231312e-02   1.017977e-16   73538
  1.466870e+00   2.459003e-14   1.230776e-02   9.165488e-17   78080
  1.509304e+00   2.307919e-14   1.215944e-02   8.401067e-17   81572
  1.551677e+00   2.179628e-14   1.232495e-02   7.611571e-17   87248
  1.594353e+00   2.039662e-14   1.233837e-02   6.988788e-17   92266
  1.636929e+00   1.910577e-14   1.225268e-02   6.440153e-17   96696
  1.679216e+00   1.783774e-14   1.215041e-02   5.919783e-17   100904
  1.721516e+00   1.671898e-14   1.226207e-02   5.360575e-17   107036
  1.764192e+00   1.565129e-14   1.235795e-02   4.887490e-17   113362
  1.806923e+00   1.471391e-14   1.228837e-02   4.539828e-17   118176
  1.849351e+00   1.379569e-14   1.221864e-02   4.186462e-17   122944
  1.891857e+00   1.292254e-14   1.233203e-02   3.817148e-17   129902
  1.934420e+00   1.234580e-14   1.224691e-02   3.602622e-17   134944
  1.976863e+00   1.157917e-14   1.225992e-02   3.307187e-17   140952
  2.019285e+00   1.091218e-14   1.225865e-02   3.067590e-17   147072
  2.061737e+00   1.033163e-14   1.224320e-02   2.839183e-17   153382
  2.104357e+00   9.743580e-15   1.233049e-02   2.641543e-17   160952
  2.147003e+00   9.258216e-15   1.228118e-02   2.459106e-17   166640
  2.189431e+00   8.692705e-15   1.222861e-02   2.286163e-17   172448
  2.231915e+00   8.324061e-15   1.231031e-02   2.139428e-17   180594
  2.274471e+00   7.838463e-15   1.224284e-02   2.001218e-17   186556
  2.316888e+00   7.366880e-15   1.225358e-02   1.867204e-17   193528
  2.359297e+00   7.046732e-15   1.224273e-02   1.739544e-17   200626
  2.401844e+00   6.679419e-15   1.230642e-02   1.630795e-17   209256
  2.444460e+00   6.290647e-15   1.227865e-02   1.517542e-17   216020
  2.487004e+00   5.980957e-15   1.230299e-02   1.427466e-17   223768
  2.529444e+00   5.682486e-15   1.222313e-02   1.332810e-17   230234
  2.571955e+00   5.429683e-15   1.229969e-02   1.253957e-17   239800
  2.614499e+00   5.141638e-15   1.225221e-02   1.172105e-17   246568
  2.656957e+00   4.891441e-15   1.227331e-02   1.104988e-17   254828
  2.699414e+00   4.618341e-15   1.225769e-02   1.038125e-17   263074
  2.741981e+00   4.388773e-15   1.228604e-02   9.732258e-18   272312
  2.784554e+00   4.181478e-15   1.228079e-02   9.173119e-18   280376
