# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.394777
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   7.011824e-11   4.792454e-03   1.928565e-11   18
  6.745391e-02   3.258415e-11   1.159167e-02   3.256501e-12   152
  1.090113e-01   1.137956e-11   1.224347e-02   5.604531e-13   416
  1.497134e-01   4.992861e-12   1.165022e-02   1.980328e-13   770
  1.923472e-01   2.560238e-12   1.247860e-02   7.753053e-14   1364
  2.350444e-01   1.378746e-12   1.221820e-02   3.301308e-14   1976
  2.775930e-01   8.619634e-13   1.245022e-02   1.772189e-14   2792
  3.193857e-01   5.704726e-13   1.188722e-02   1.020812e-14   3578
  3.615292e-01   3.759218e-13   1.219808e-02   6.076879e-15   4724
  4.045273e-01   2.678534e-13   1.253838e-02   3.924909e-15   6032
  4.469941e-01   1.855787e-13   1.206640e-02   2.729177e-15   7072
  4.890810e-01   1.424396e-13   1.222555e-02   1.896047e-15   8634
  5.318886e-01   1.072137e-13   1.238102e-02   1.374274e-15   10336
  5.746708e-01   8.203403e-14   1.232804e-02   9.596783e-16   11940
  6.167490e-01   6.202525e-14   1.208586e-02   7.465652e-16   13490
  6.588740e-01   5.034956e-14   1.221778e-02   5.762183e-16   15656
  7.016595e-01   3.844640e-14   1.241043e-02   4.315229e-16   18008
  7.443680e-01   3.015316e-14   1.227786e-02   3.582244e-16   19964
  7.867827e-01   2.435940e-14   1.226437e-02   2.854279e-16   22354
  8.291404e-01   1.844592e-14   1.212327e-02   2.308396e-16   24648
  8.716536e-01   1.463996e-14   1.233244e-02   1.844944e-16   27592
  9.142068e-01   1.197292e-14   1.230127e-02   1.566641e-16   30152
  9.566749e-01   9.337504e-15   1.227622e-02   1.314210e-16   33046
  9.991233e-01   7.706656e-15   1.221538e-02   1.106870e-16   35992
  1.041693e+00   6.092731e-15   1.229906e-02   9.567089e-17   39304
  1.084289e+00   4.941737e-15   1.232858e-02   8.166230e-17   42608
  1.126820e+00   3.995655e-15   1.223307e-02   7.127796e-17   45758
  1.169340e+00   3.023950e-15   1.228914e-02   6.157783e-17   49536
  1.211695e+00   2.509753e-15   1.215683e-02   5.479443e-17   52488
  1.254054e+00   2.031556e-15   1.233851e-02   4.788635e-17   57034
  1.296605e+00   1.604844e-15   1.224458e-02   4.206669e-17   60648
  1.339187e+00   1.293695e-15   1.230532e-02   3.749614e-17   65044
  1.381689e+00   1.032911e-15   1.223104e-02   3.370003e-17   68720
