# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.199585
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   5.969059e-11   4.792454e-03   1.644097e-11   18
  6.745391e-02   2.732792e-11   1.159167e-02   2.736622e-12   152
  1.090113e-01   9.492300e-12   1.224347e-02   4.742052e-13   416
  1.497134e-01   4.237220e-12   1.165022e-02   1.697124e-13   770
  1.923472e-01   2.203120e-12   1.247860e-02   6.537836e-14   1364
  2.350444e-01   1.266182e-12   1.221820e-02   3.068479e-14   1976
  2.775930e-01   7.881374e-13   1.245022e-02   1.701184e-14   2792
  3.193857e-01   5.412729e-13   1.188722e-02   1.012077e-14   3578
  3.615292e-01   3.637832e-13   1.219808e-02   6.434525e-15   4724
  4.045273e-01   2.574001e-13   1.253838e-02   4.121885e-15   6032
  4.469941e-01   1.791398e-13   1.206640e-02   2.876561e-15   7072
  4.890810e-01   1.397509e-13   1.222555e-02   2.136689e-15   8634
  5.318886e-01   1.052761e-13   1.238102e-02   1.540401e-15   10336
  5.746708e-01   7.575380e-14   1.232804e-02   1.149660e-15   11940
  6.167490e-01   5.738447e-14   1.208586e-02   9.155938e-16   13490
  6.588740e-01   4.393960e-14   1.221778e-02   7.392818e-16   15656
  7.016595e-01   3.521402e-14   1.241043e-02   5.829010e-16   18008
  7.443680e-01   2.700965e-14   1.227786e-02   4.735146e-16   19964
  7.867827e-01   2.046861e-14   1.226437e-02   3.827513e-16   22354
  8.291404e-01   1.631242e-14   1.212327e-02   3.304110e-16   24648
  8.716536e-01   1.237129e-14   1.233244e-02   2.775569e-16   27592
  9.142068e-01   9.361577e-15   1.230127e-02   2.372302e-16   30152
  9.566749e-01   7.332650e-15   1.227622e-02   2.048319e-16   33046
  9.991233e-01   5.068043e-15   1.221538e-02   1.777057e-16   35992
  1.041693e+00   4.021383e-15   1.229906e-02   1.561872e-16   39304
  1.084289e+00   2.937547e-15   1.232858e-02   1.342005e-16   42608
  1.126820e+00   2.281900e-15   1.223307e-02   1.227167e-16   45758
  1.169340e+00   1.977392e-15   1.228914e-02   1.066961e-16   49536
  1.211695e+00   1.267437e-15   1.215683e-02   9.614841e-17   52488
  1.254054e+00   9.774961e-16   1.233851e-02   8.431640e-17   57034
  1.296605e+00   6.831097e-16   1.224458e-02   7.694470e-17   60648
  1.339187e+00   5.593436e-16   1.230532e-02   6.902212e-17   65044
  1.381689e+00   5.052453e-16   1.223104e-02   6.366010e-17   68720
  1.424202e+00   2.475322e-16   1.231312e-02   5.688801e-17   73538
  1.466870e+00   2.236266e-16   1.230776e-02   5.170999e-17   78080
  1.509304e+00   8.613121e-17   1.215944e-02   4.736315e-17   81572
  1.551677e+00   1.952255e-16   1.232495e-02   4.321370e-17   87248
  1.594353e+00   4.463812e-17   1.233837e-02   3.975908e-17   92266
  1.636929e+00   8.800800e-17   1.225268e-02   3.628742e-17   96696
  1.679216e+00   8.890779e-17   1.215041e-02   3.343660e-17   100904
  1.721516e+00   6.769791e-17   1.226207e-02   3.088252e-17   107036
  1.764192e+00   2.825176e-17   1.235795e-02   2.805902e-17   113362
  1.806923e+00   -1.960726e-17   1.228837e-02   2.615831e-17   118176
  1.849351e+00   3.748950e-17   1.221864e-02   2.433967e-17   122944
  1.891857e+00   -4.049137e-17   1.233203e-02   2.258343e-17   129902
  1.934420e+00   3.752152e-17   1.224691e-02   2.117032e-17   134944
  1.976863e+00   -1.498635e-17   1.225992e-02   1.956515e-17   140952
  2.019285e+00   -2.763662e-17   1.225865e-02   1.818981e-17   147072
  2.061737e+00   -4.055034e-17   1.224320e-02   1.706082e-17   153382
  2.104357e+00   -4.689843e-17   1.233049e-02   1.594183e-17   160952
  2.147003e+00   -4.107135e-17   1.228118e-02   1.491183e-17   166640
  2.189431e+00   -3.763000e-17   1.222861e-02   1.387459e-17   172448
  2.231915e+00   -6.730229e-18   1.231031e-02   1.307896e-17   180594
  2.274471e+00   7.408352e-18   1.224284e-02   1.228936e-17   186556
  2.316888e+00   -2.076349e-17   1.225358e-02   1.143324e-17   193528
  2.359297e+00   -8.584972e-18   1.224273e-02   1.080897e-17   200626
  2.401844e+00   -1.273828e-17   1.230642e-02   1.011775e-17   209256
  2.444460e+00   -1.311178e-17   1.227865e-02   9.532820e-18   216020
  2.487004e+00   1.100526e-17   1.230299e-02   9.042155e-18   223768
  2.529444e+00   9.150050e-20   1.222313e-02   8.523012e-18   230234
  2.571955e+00   1.026648e-17   1.229969e-02   8.021336e-18   239800
