# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.996075
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   6.798304e-11   4.792454e-03   1.870578e-11   18
  6.745391e-02   3.146731e-11   1.159167e-02   3.144388e-12   152
  1.090113e-01   1.104496e-11   1.224347e-02   5.448190e-13   416
  1.497134e-01   4.938658e-12   1.165022e-02   1.950229e-13   770
  1.923472e-01   2.584301e-12   1.247860e-02   7.619792e-14   1364
  2.350444e-01   1.466303e-12   1.221820e-02   3.423298e-14   1976
  2.775930e-01   9.372087e-13   1.245022e-02   1.884562e-14   2792
  3.193857e-01   6.477523e-13   1.188722e-02   1.103294e-14   3578
  3.615292e-01   4.450941e-13   1.219808e-02   6.808723e-15   4724
  4.045273e-01   3.277838e-13   1.253838e-02   4.428839e-15   6032
  4.469941e-01   2.389454e-13   1.206640e-02   3.139424e-15   7072
  4.890810e-01   1.917540e-13   1.222555e-02   2.276431e-15   8634
  5.318886e-01   1.539800e-13   1.238102e-02   1.678631e-15   10336
  5.746708e-01   1.218660e-13   1.232804e-02   1.224207e-15   11940
  6.167490e-01   9.810661e-14   1.208586e-02   9.628099e-16   13490
  6.588740e-01   8.349724e-14   1.221778e-02   7.747228e-16   15656
  7.016595e-01   6.961750e-14   1.241043e-02   5.938769e-16   18008
  7.443680e-01   5.784574e-14   1.227786e-02   4.953259e-16   19964
  7.867827e-01   4.817341e-14   1.226437e-02   3.943868e-16   22354
  8.291404e-01   4.092218e-14   1.212327e-02   3.303283e-16   24648
  8.716536e-01   3.502119e-14   1.233244e-02   2.726736e-16   27592
  9.142068e-01   3.005326e-14   1.230127e-02   2.278929e-16   30152
  9.566749e-01   2.572017e-14   1.227622e-02   1.970750e-16   33046
  9.991233e-01   2.214140e-14   1.221538e-02   1.668099e-16   35992
  1.041693e+00   1.960292e-14   1.229906e-02   1.456514e-16   39304
  1.084289e+00   1.680790e-14   1.232858e-02   1.247201e-16   42608
  1.126820e+00   1.478425e-14   1.223307e-02   1.095636e-16   45758
  1.169340e+00   1.262345e-14   1.228914e-02   9.599240e-17   49536
  1.211695e+00   1.125952e-14   1.215683e-02   8.552639e-17   52488
  1.254054e+00   9.796697e-15   1.233851e-02   7.487398e-17   57034
  1.296605e+00   8.394586e-15   1.224458e-02   6.659606e-17   60648
  1.339187e+00   7.438196e-15   1.230532e-02   5.914607e-17   65044
  1.381689e+00   6.520573e-15   1.223104e-02   5.301783e-17   68720
  1.424202e+00   5.740382e-15   1.231312e-02   4.768978e-17   73538
  1.466870e+00   5.160952e-15   1.230776e-02   4.343275e-17   78080
  1.509304e+00   4.305519e-15   1.215944e-02   3.899370e-17   81572
  1.551677e+00   3.960716e-15   1.232495e-02   3.578198e-17   87248
  1.594353e+00   3.417004e-15   1.233837e-02   3.225380e-17   92266
  1.636929e+00   3.014944e-15   1.225268e-02   2.962855e-17   96696
  1.679216e+00   2.619681e-15   1.215041e-02   2.755222e-17   100904
  1.721516e+00   2.302957e-15   1.226207e-02   2.517606e-17   107036
  1.764192e+00   1.968009e-15   1.235795e-02   2.319751e-17   113362
  1.806923e+00   1.788405e-15   1.228837e-02   2.140456e-17   118176
  1.849351e+00   1.507550e-15   1.221864e-02   1.999177e-17   122944
  1.891857e+00   1.346826e-15   1.233203e-02   1.828695e-17   129902
  1.934420e+00   1.183269e-15   1.224691e-02   1.711574e-17   134944
  1.976863e+00   1.002861e-15   1.225992e-02   1.593447e-17   140952
  2.019285e+00   8.806453e-16   1.225865e-02   1.479279e-17   147072
  2.061737e+00   7.668890e-16   1.224320e-02   1.381073e-17   153382
  2.104357e+00   6.619027e-16   1.233049e-02   1.288837e-17   160952
  2.147003e+00   5.738004e-16   1.228118e-02   1.208087e-17   166640
  2.189431e+00   5.088984e-16   1.222861e-02   1.127909e-17   172448
  2.231915e+00   4.552449e-16   1.231031e-02   1.060195e-17   180594
  2.274471e+00   3.952882e-16   1.224284e-02   9.983394e-18   186556
  2.316888e+00   3.502836e-16   1.225358e-02   9.381353e-18   193528
  2.359297e+00   2.945514e-16   1.224273e-02   8.833898e-18   200626
  2.401844e+00   2.848414e-16   1.230642e-02   8.342970e-18   209256
  2.444460e+00   2.266515e-16   1.227865e-02   7.837665e-18   216020
