# cross spectrum of phi(z1) and phi(z2)
# redshift z=2.093687
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   7.118033e-11   4.792454e-03   1.957237e-11   18
  6.745391e-02   3.317126e-11   1.159167e-02   3.312266e-12   152
  1.090113e-01   1.162125e-11   1.224347e-02   5.700588e-13   416
  1.497134e-01   5.121103e-12   1.165022e-02   2.011477e-13   770
  1.923472e-01   2.644400e-12   1.247860e-02   7.940035e-14   1364
  2.350444e-01   1.428066e-12   1.221820e-02   3.353060e-14   1976
  2.775930e-01   9.059778e-13   1.245022e-02   1.800710e-14   2792
  3.193857e-01   6.042360e-13   1.188722e-02   1.038788e-14   3578
  3.615292e-01   4.085388e-13   1.219808e-02   6.217417e-15   4724
  4.045273e-01   2.963978e-13   1.253838e-02   4.037364e-15   6032
  4.469941e-01   2.112704e-13   1.206640e-02   2.818406e-15   7072
  4.890810e-01   1.647141e-13   1.222555e-02   1.955553e-15   8634
  5.318886e-01   1.280136e-13   1.238102e-02   1.421228e-15   10336
  5.746708e-01   1.005067e-13   1.232804e-02   9.960073e-16   11940
  6.167490e-01   7.931394e-14   1.208586e-02   7.760366e-16   13490
  6.588740e-01   6.554407e-14   1.221778e-02   5.918465e-16   15656
  7.016595e-01   5.215431e-14   1.241043e-02   4.447963e-16   18008
  7.443680e-01   4.256346e-14   1.227786e-02   3.688166e-16   19964
  7.867827e-01   3.570649e-14   1.226437e-02   2.960870e-16   22354
  8.291404e-01   2.893699e-14   1.212327e-02   2.337093e-16   24648
  8.716536e-01   2.392016e-14   1.233244e-02   1.849285e-16   27592
  9.142068e-01   2.063304e-14   1.230127e-02   1.598615e-16   30152
  9.566749e-01   1.715283e-14   1.227622e-02   1.306125e-16   33046
  9.991233e-01   1.477106e-14   1.221538e-02   1.096170e-16   35992
  1.041693e+00   1.262996e-14   1.229906e-02   9.321780e-17   39304
  1.084289e+00   1.062721e-14   1.232858e-02   7.969986e-17   42608
  1.126820e+00   9.264850e-15   1.223307e-02   6.878764e-17   45758
  1.169340e+00   7.701069e-15   1.228914e-02   5.786294e-17   49536
  1.211695e+00   6.675434e-15   1.215683e-02   5.128249e-17   52488
  1.254054e+00   5.885704e-15   1.233851e-02   4.459990e-17   57034
  1.296605e+00   4.992382e-15   1.224458e-02   3.872552e-17   60648
  1.339187e+00   4.316517e-15   1.230532e-02   3.427607e-17   65044
  1.381689e+00   3.756140e-15   1.223104e-02   3.046515e-17   68720
  1.424202e+00   3.274782e-15   1.231312e-02   2.706488e-17   73538
  1.466870e+00   2.847521e-15   1.230776e-02   2.396701e-17   78080
  1.509304e+00   2.516626e-15   1.215944e-02   2.180801e-17   81572
  1.551677e+00   2.150845e-15   1.232495e-02   1.973433e-17   87248
  1.594353e+00   1.797733e-15   1.233837e-02   1.763753e-17   92266
  1.636929e+00   1.602964e-15   1.225268e-02   1.592262e-17   96696
  1.679216e+00   1.429418e-15   1.215041e-02   1.451102e-17   100904
  1.721516e+00   1.248058e-15   1.226207e-02   1.323886e-17   107036
