# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.197496
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   6.864050e-11   4.792454e-03   1.888455e-11   18
  6.745391e-02   3.180961e-11   1.159167e-02   3.177567e-12   152
  1.090113e-01   1.118183e-11   1.224347e-02   5.507002e-13   416
  1.497134e-01   5.007996e-12   1.165022e-02   1.971818e-13   770
  1.923472e-01   2.626696e-12   1.247860e-02   7.725676e-14   1364
  2.350444e-01   1.492308e-12   1.221820e-02   3.460303e-14   1976
  2.775930e-01   9.590052e-13   1.245022e-02   1.906753e-14   2792
  3.193857e-01   6.649381e-13   1.188722e-02   1.115639e-14   3578
  3.615292e-01   4.605414e-13   1.219808e-02   6.887945e-15   4724
  4.045273e-01   3.418872e-13   1.253838e-02   4.494717e-15   6032
  4.469941e-01   2.517374e-13   1.206640e-02   3.205956e-15   7072
  4.890810e-01   2.034722e-13   1.222555e-02   2.325119e-15   8634
  5.318886e-01   1.653504e-13   1.238102e-02   1.720400e-15   10336
  5.746708e-01   1.327307e-13   1.232804e-02   1.259633e-15   11940
  6.167490e-01   1.084714e-13   1.208586e-02   9.929241e-16   13490
  6.588740e-01   9.343540e-14   1.221778e-02   8.008941e-16   15656
  7.016595e-01   7.874043e-14   1.241043e-02   6.156774e-16   18008
  7.443680e-01   6.637422e-14   1.227786e-02   5.167724e-16   19964
  7.867827e-01   5.653453e-14   1.226437e-02   4.142415e-16   22354
  8.291404e-01   4.884613e-14   1.212327e-02   3.465054e-16   24648
  8.716536e-01   4.270227e-14   1.233244e-02   2.868901e-16   27592
  9.142068e-01   3.752837e-14   1.230127e-02   2.416625e-16   30152
  9.566749e-01   3.281724e-14   1.227622e-02   2.093238e-16   33046
  9.991233e-01   2.896009e-14   1.221538e-02   1.778406e-16   35992
  1.041693e+00   2.617407e-14   1.229906e-02   1.556091e-16   39304
  1.084289e+00   2.304835e-14   1.232858e-02   1.341491e-16   42608
  1.126820e+00   2.069245e-14   1.223307e-02   1.177124e-16   45758
  1.169340e+00   1.822730e-14   1.228914e-02   1.032308e-16   49536
  1.211695e+00   1.667491e-14   1.215683e-02   9.224343e-17   52488
  1.254054e+00   1.490502e-14   1.233851e-02   8.035091e-17   57034
  1.296605e+00   1.329820e-14   1.224458e-02   7.153439e-17   60648
  1.339187e+00   1.201567e-14   1.230532e-02   6.316466e-17   65044
  1.381689e+00   1.088077e-14   1.223104e-02   5.671228e-17   68720
  1.424202e+00   9.896267e-15   1.231312e-02   5.111024e-17   73538
  1.466870e+00   9.086950e-15   1.230776e-02   4.650919e-17   78080
  1.509304e+00   8.018182e-15   1.215944e-02   4.143000e-17   81572
  1.551677e+00   7.462769e-15   1.232495e-02   3.815718e-17   87248
  1.594353e+00   6.759373e-15   1.233837e-02   3.439738e-17   92266
  1.636929e+00   6.101359e-15   1.225268e-02   3.128170e-17   96696
  1.679216e+00   5.557695e-15   1.215041e-02   2.902540e-17   100904
  1.721516e+00   5.100619e-15   1.226207e-02   2.658871e-17   107036
  1.764192e+00   4.584042e-15   1.235795e-02   2.417179e-17   113362
  1.806923e+00   4.229417e-15   1.228837e-02   2.234930e-17   118176
  1.849351e+00   3.793707e-15   1.221864e-02   2.059454e-17   122944
  1.891857e+00   3.502234e-15   1.233203e-02   1.902910e-17   129902
  1.934420e+00   3.215223e-15   1.224691e-02   1.778002e-17   134944
  1.976863e+00   2.883459e-15   1.225992e-02   1.640821e-17   140952
  2.019285e+00   2.643533e-15   1.225865e-02   1.526107e-17   147072
  2.061737e+00   2.413790e-15   1.224320e-02   1.421080e-17   153382
  2.104357e+00   2.206058e-15   1.233049e-02   1.322583e-17   160952
  2.147003e+00   2.003293e-15   1.228118e-02   1.234991e-17   166640
  2.189431e+00   1.833114e-15   1.222861e-02   1.149114e-17   172448
  2.231915e+00   1.690543e-15   1.231031e-02   1.079748e-17   180594
  2.274471e+00   1.538545e-15   1.224284e-02   1.011447e-17   186556
  2.316888e+00   1.412223e-15   1.225358e-02   9.534516e-18   193528
  2.359297e+00   1.283372e-15   1.224273e-02   8.960605e-18   200626
  2.401844e+00   1.170358e-15   1.230642e-02   8.393779e-18   209256
  2.444460e+00   1.054261e-15   1.227865e-02   7.895417e-18   216020
  2.487004e+00   9.791335e-16   1.230299e-02   7.477299e-18   223768
  2.529444e+00   8.921363e-16   1.222313e-02   7.096484e-18   230234
  2.571955e+00   8.131031e-16   1.229969e-02   6.656070e-18   239800
  2.614499e+00   7.330123e-16   1.225221e-02   6.327384e-18   246568
  2.656957e+00   6.713510e-16   1.227331e-02   5.999233e-18   254828
  2.699414e+00   6.099345e-16   1.225769e-02   5.662035e-18   263074
  2.741981e+00   5.533325e-16   1.228604e-02   5.341110e-18   272312
  2.784554e+00   5.152858e-16   1.228079e-02   5.070361e-18   280376
  2.827093e+00   4.674675e-16   1.228600e-02   4.829290e-18   288884
  2.869605e+00   4.285401e-16   1.227401e-02   4.579152e-18   297602
  2.912071e+00   3.834156e-16   1.223046e-02   4.347766e-18   305520
  2.954561e+00   3.506272e-16   1.230079e-02   4.152287e-18   315976
  2.996984e+00   3.178174e-16   1.221089e-02   3.976726e-18   322778
  3.039488e+00   2.932060e-16   1.232008e-02   3.767359e-18   335372
  3.082114e+00   2.566507e-16   1.227327e-02   3.603676e-18   343464
  3.124654e+00   2.396929e-16   1.228282e-02   3.428759e-18   352912
  3.167174e+00   2.222759e-16   1.228199e-02   3.272339e-18   362666
  3.209689e+00   1.991430e-16   1.225476e-02   3.149840e-18   371884
  3.252186e+00   1.769240e-16   1.227971e-02   2.993029e-18   382280
  3.294633e+00   1.667988e-16   1.224302e-02   2.854616e-18   390888
  3.337059e+00   1.470916e-16   1.226867e-02   2.730656e-18   402234
  3.379565e+00   1.405013e-16   1.225933e-02   2.605270e-18   412576
  3.422105e+00   1.175708e-16   1.228715e-02   2.489359e-18   423732
  3.464636e+00   1.069001e-16   1.227257e-02   2.391497e-18   433624
  3.507180e+00   1.028896e-16   1.228881e-02   2.296041e-18   445154
  3.549739e+00   8.451421e-17   1.227656e-02   2.199743e-18   455584
  3.592238e+00   7.830720e-17   1.225887e-02   2.106724e-18   465588
  3.634685e+00   7.125341e-17   1.226065e-02   2.012350e-18   476762
  3.677219e+00   6.270949e-17   1.229242e-02   1.932658e-18   489552
  3.719789e+00   5.928132e-17   1.227853e-02   1.853946e-18   500328
  3.762251e+00   4.715214e-17   1.223705e-02   1.779597e-18   509852
  3.804741e+00   5.084578e-17   1.229735e-02   1.709543e-18   524234
  3.847275e+00   4.091073e-17   1.224781e-02   1.655928e-18   534104
  3.889779e+00   3.776584e-17   1.228211e-02   1.578965e-18   547048
  3.932320e+00   3.531788e-17   1.229545e-02   1.524323e-18   559328
  3.974872e+00   3.105693e-17   1.228346e-02   1.463987e-18   571326
  4.017355e+00   2.658819e-17   1.224147e-02   1.411291e-18   581920
  4.059804e+00   2.520959e-17   1.225835e-02   1.358330e-18   594832
  4.102282e+00   1.946743e-17   1.227222e-02   1.305654e-18   608048
  4.144825e+00   2.291734e-17   1.228101e-02   1.256105e-18   621526
  4.187356e+00   2.027502e-17   1.226445e-02   1.204391e-18   633240
  4.229822e+00   1.613779e-17   1.225981e-02   1.169305e-18   645472
  4.272346e+00   1.642383e-17   1.230137e-02   1.119107e-18   660906
  4.314903e+00   1.237466e-17   1.227030e-02   1.083616e-18   672856
  4.357425e+00   1.314037e-17   1.226838e-02   1.044740e-18   685980
  4.399921e+00   1.035787e-17   1.227191e-02   1.009840e-18   699256
  4.442476e+00   1.144645e-17   1.229990e-02   9.710880e-19   714730
  4.484986e+00   1.118966e-17   1.223739e-02   9.386269e-19   725152
  4.527452e+00   7.959044e-18   1.227054e-02   9.080071e-19   740420
  4.569941e+00   8.091596e-18   1.227636e-02   8.771490e-19   754312
  4.612456e+00   7.898047e-18   1.227959e-02   8.424590e-19   769114
  4.654996e+00   8.316105e-18   1.227684e-02   8.181677e-19   783488
  4.697459e+00   6.948377e-18   1.223560e-02   7.887605e-19   794968
  4.739925e+00   4.916138e-18   1.228043e-02   7.589730e-19   812366
  4.782438e+00   4.483851e-18   1.226054e-02   7.364913e-19   825976
  4.825000e+00   5.981489e-18   1.230088e-02   7.117222e-19   843352
  4.867591e+00   5.519473e-18   1.229290e-02   6.872925e-19   857280
  4.910094e+00   4.813793e-18   1.225276e-02   6.650524e-19   869542
  4.952587e+00   3.429025e-18   1.228301e-02   6.413086e-19   887128
  4.995087e+00   4.249595e-18   1.225266e-02   6.202715e-19   900032
  5.037553e+00   4.722870e-18   1.226951e-02   6.014484e-19   916560
  5.080018e+00   4.822550e-18   1.224713e-02   5.829223e-19   930922
  5.122540e+00   3.089456e-18   1.228718e-02   5.628205e-19   949844
  5.165149e+00   3.096586e-18   1.230776e-02   5.459967e-19   966736
  5.207698e+00   3.030340e-18   1.226328e-02   5.299279e-19   978776
  5.250149e+00   2.884077e-18   1.225655e-02   5.115176e-19   994522
  5.292642e+00   1.843078e-18   1.227563e-02   4.954461e-19   1012420
  5.335176e+00   3.353453e-19   1.228639e-02   4.807690e-19   1029408
  5.377640e+00   1.922203e-18   1.223362e-02   4.662241e-19   1041658
