# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.098916
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   5.686167e-11   4.792454e-03   1.566602e-11   18
  6.745391e-02   2.596055e-11   1.159167e-02   2.599261e-12   152
  1.090113e-01   9.025543e-12   1.224347e-02   4.514752e-13   416
  1.497134e-01   4.071332e-12   1.165022e-02   1.621231e-13   770
  1.923472e-01   2.141175e-12   1.247860e-02   6.277150e-14   1364
  2.350444e-01   1.258075e-12   1.221820e-02   3.007214e-14   1976
  2.775930e-01   7.940484e-13   1.245022e-02   1.693754e-14   2792
  3.193857e-01   5.542191e-13   1.188722e-02   1.017089e-14   3578
  3.615292e-01   3.838897e-13   1.219808e-02   6.601479e-15   4724
  4.045273e-01   2.752203e-13   1.253838e-02   4.207610e-15   6032
  4.469941e-01   1.970472e-13   1.206640e-02   2.984101e-15   7072
  4.890810e-01   1.564690e-13   1.222555e-02   2.239465e-15   8634
  5.318886e-01   1.200350e-13   1.238102e-02   1.616381e-15   10336
  5.746708e-01   8.886956e-14   1.232804e-02   1.223198e-15   11940
  6.167490e-01   6.986888e-14   1.208586e-02   9.687000e-16   13490
  6.588740e-01   5.374194e-14   1.221778e-02   7.849471e-16   15656
  7.016595e-01   4.334037e-14   1.241043e-02   6.326580e-16   18008
  7.443680e-01   3.409193e-14   1.227786e-02   5.107730e-16   19964
  7.867827e-01   2.686761e-14   1.226437e-02   4.142749e-16   22354
  8.291404e-01   2.199570e-14   1.212327e-02   3.597969e-16   24648
  8.716536e-01   1.716764e-14   1.233244e-02   3.002969e-16   27592
  9.142068e-01   1.344254e-14   1.230127e-02   2.582572e-16   30152
  9.566749e-01   1.088210e-14   1.227622e-02   2.217258e-16   33046
  9.991233e-01   8.102179e-15   1.221538e-02   1.933762e-16   35992
  1.041693e+00   6.671162e-15   1.229906e-02   1.715305e-16   39304
  1.084289e+00   5.059509e-15   1.232858e-02   1.464466e-16   42608
  1.126820e+00   3.979170e-15   1.223307e-02   1.358049e-16   45758
  1.169340e+00   3.665380e-15   1.228914e-02   1.184804e-16   49536
  1.211695e+00   2.465372e-15   1.215683e-02   1.073076e-16   52488
  1.254054e+00   2.030361e-15   1.233851e-02   9.365604e-17   57034
  1.296605e+00   1.427678e-15   1.224458e-02   8.486059e-17   60648
  1.339187e+00   1.336538e-15   1.230532e-02   7.685514e-17   65044
  1.381689e+00   1.135435e-15   1.223104e-02   7.068127e-17   68720
  1.424202e+00   7.812130e-16   1.231312e-02   6.270036e-17   73538
  1.466870e+00   6.040652e-16   1.230776e-02   5.784325e-17   78080
  1.509304e+00   4.318794e-16   1.215944e-02   5.272958e-17   81572
  1.551677e+00   4.108760e-16   1.232495e-02   4.823916e-17   87248
  1.594353e+00   2.752777e-16   1.233837e-02   4.405555e-17   92266
  1.636929e+00   2.741217e-16   1.225268e-02   4.074895e-17   96696
  1.679216e+00   2.904200e-16   1.215041e-02   3.776504e-17   100904
  1.721516e+00   1.530466e-16   1.226207e-02   3.450853e-17   107036
  1.764192e+00   1.422649e-16   1.235795e-02   3.151287e-17   113362
  1.806923e+00   1.213752e-16   1.228837e-02   2.928170e-17   118176
  1.849351e+00   1.878769e-16   1.221864e-02   2.712616e-17   122944
  1.891857e+00   7.753832e-17   1.233203e-02   2.511451e-17   129902
  1.934420e+00   1.172926e-16   1.224691e-02   2.344137e-17   134944
  1.976863e+00   9.255778e-17   1.225992e-02   2.177482e-17   140952
  2.019285e+00   5.402203e-17   1.225865e-02   2.021001e-17   147072
  2.061737e+00   6.369638e-17   1.224320e-02   1.892145e-17   153382
  2.104357e+00   -1.268380e-17   1.233049e-02   1.764699e-17   160952
  2.147003e+00   4.238351e-17   1.228118e-02   1.634357e-17   166640
  2.189431e+00   1.067954e-17   1.222861e-02   1.540701e-17   172448
  2.231915e+00   -4.829373e-18   1.231031e-02   1.441390e-17   180594
  2.274471e+00   -2.534358e-17   1.224284e-02   1.363270e-17   186556
  2.316888e+00   3.048683e-19   1.225358e-02   1.268830e-17   193528
  2.359297e+00   7.943039e-18   1.224273e-02   1.203445e-17   200626
  2.401844e+00   -2.561787e-17   1.230642e-02   1.124638e-17   209256
  2.444460e+00   -1.352783e-17   1.227865e-02   1.057687e-17   216020
  2.487004e+00   -3.009328e-17   1.230299e-02   9.960339e-18   223768
  2.529444e+00   -2.949001e-18   1.222313e-02   9.379153e-18   230234
  2.571955e+00   -1.961420e-17   1.229969e-02   8.824575e-18   239800
  2.614499e+00   -3.037936e-17   1.225221e-02   8.323194e-18   246568
