# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.293448
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   6.902120e-11   4.792454e-03   1.898795e-11   18
  6.745391e-02   3.200896e-11   1.159167e-02   3.197216e-12   152
  1.090113e-01   1.125261e-11   1.224347e-02   5.538399e-13   416
  1.497134e-01   5.034082e-12   1.165022e-02   1.981198e-13   770
  1.923472e-01   2.637586e-12   1.247860e-02   7.769418e-14   1364
  2.350444e-01   1.492750e-12   1.221820e-02   3.461276e-14   1976
  2.775930e-01   9.589568e-13   1.245022e-02   1.903333e-14   2792
  3.193857e-01   6.632006e-13   1.188722e-02   1.111501e-14   3578
  3.615292e-01   4.587441e-13   1.219808e-02   6.842062e-15   4724
  4.045273e-01   3.405536e-13   1.253838e-02   4.465681e-15   6032
  4.469941e-01   2.503706e-13   1.206640e-02   3.186361e-15   7072
  4.890810e-01   2.021285e-13   1.222555e-02   2.302514e-15   8634
  5.318886e-01   1.639957e-13   1.238102e-02   1.701816e-15   10336
  5.746708e-01   1.318143e-13   1.232804e-02   1.242030e-15   11940
  6.167490e-01   1.076414e-13   1.208586e-02   9.788505e-16   13490
  6.588740e-01   9.272029e-14   1.221778e-02   7.877197e-16   15656
  7.016595e-01   7.792654e-14   1.241043e-02   6.034205e-16   18008
  7.443680e-01   6.559785e-14   1.227786e-02   5.072549e-16   19964
  7.867827e-01   5.610850e-14   1.226437e-02   4.079079e-16   22354
  8.291404e-01   4.834491e-14   1.212327e-02   3.392581e-16   24648
  8.716536e-01   4.228811e-14   1.233244e-02   2.798195e-16   27592
  9.142068e-01   3.724162e-14   1.230127e-02   2.366144e-16   30152
  9.566749e-01   3.258255e-14   1.227622e-02   2.046090e-16   33046
  9.991233e-01   2.883564e-14   1.221538e-02   1.738079e-16   35992
  1.041693e+00   2.601771e-14   1.229906e-02   1.516098e-16   39304
  1.084289e+00   2.297533e-14   1.232858e-02   1.309836e-16   42608
  1.126820e+00   2.059914e-14   1.223307e-02   1.147253e-16   45758
  1.169340e+00   1.817555e-14   1.228914e-02   1.003206e-16   49536
  1.211695e+00   1.666543e-14   1.215683e-02   8.983764e-17   52488
  1.254054e+00   1.491289e-14   1.233851e-02   7.804823e-17   57034
  1.296605e+00   1.336794e-14   1.224458e-02   6.946099e-17   60648
  1.339187e+00   1.206969e-14   1.230532e-02   6.125570e-17   65044
  1.381689e+00   1.097208e-14   1.223104e-02   5.506334e-17   68720
  1.424202e+00   1.001584e-14   1.231312e-02   4.967726e-17   73538
  1.466870e+00   9.184821e-15   1.230776e-02   4.513399e-17   78080
  1.509304e+00   8.158421e-15   1.215944e-02   4.018737e-17   81572
  1.551677e+00   7.592841e-15   1.232495e-02   3.704907e-17   87248
  1.594353e+00   6.906956e-15   1.233837e-02   3.338869e-17   92266
  1.636929e+00   6.230425e-15   1.225268e-02   3.024866e-17   96696
  1.679216e+00   5.713678e-15   1.215041e-02   2.803349e-17   100904
  1.721516e+00   5.247007e-15   1.226207e-02   2.576703e-17   107036
  1.764192e+00   4.748079e-15   1.235795e-02   2.333279e-17   113362
  1.806923e+00   4.386261e-15   1.228837e-02   2.157830e-17   118176
  1.849351e+00   3.964701e-15   1.221864e-02   1.982573e-17   122944
  1.891857e+00   3.671429e-15   1.233203e-02   1.837815e-17   129902
  1.934420e+00   3.378819e-15   1.224691e-02   1.715235e-17   134944
  1.976863e+00   3.046308e-15   1.225992e-02   1.580696e-17   140952
  2.019285e+00   2.806615e-15   1.225865e-02   1.468421e-17   147072
  2.061737e+00   2.579384e-15   1.224320e-02   1.370756e-17   153382
  2.104357e+00   2.360612e-15   1.233049e-02   1.272451e-17   160952
  2.147003e+00   2.157734e-15   1.228118e-02   1.187095e-17   166640
  2.189431e+00   1.977212e-15   1.222861e-02   1.104698e-17   172448
  2.231915e+00   1.827965e-15   1.231031e-02   1.040225e-17   180594
  2.274471e+00   1.669608e-15   1.224284e-02   9.719062e-18   186556
  2.316888e+00   1.540853e-15   1.225358e-02   9.161246e-18   193528
  2.359297e+00   1.402970e-15   1.224273e-02   8.609837e-18   200626
  2.401844e+00   1.290739e-15   1.230642e-02   8.064751e-18   209256
  2.444460e+00   1.170684e-15   1.227865e-02   7.565239e-18   216020
  2.487004e+00   1.087551e-15   1.230299e-02   7.158378e-18   223768
  2.529444e+00   9.983059e-16   1.222313e-02   6.786999e-18   230234
  2.571955e+00   9.132616e-16   1.229969e-02   6.365761e-18   239800
  2.614499e+00   8.238104e-16   1.225221e-02   6.052568e-18   246568
  2.656957e+00   7.687969e-16   1.227331e-02   5.737875e-18   254828
  2.699414e+00   6.963826e-16   1.225769e-02   5.414301e-18   263074
  2.741981e+00   6.368176e-16   1.228604e-02   5.106144e-18   272312
  2.784554e+00   5.980901e-16   1.228079e-02   4.842938e-18   280376
  2.827093e+00   5.473232e-16   1.228600e-02   4.609335e-18   288884
  2.869605e+00   4.983067e-16   1.227401e-02   4.376486e-18   297602
  2.912071e+00   4.555338e-16   1.223046e-02   4.156335e-18   305520
  2.954561e+00   4.136330e-16   1.230079e-02   3.974244e-18   315976
  2.996984e+00   3.802179e-16   1.221089e-02   3.797433e-18   322778
  3.039488e+00   3.539549e-16   1.232008e-02   3.596785e-18   335372
  3.082114e+00   3.144112e-16   1.227327e-02   3.448107e-18   343464
  3.124654e+00   2.906220e-16   1.228282e-02   3.275931e-18   352912
  3.167174e+00   2.771213e-16   1.228199e-02   3.123932e-18   362666
  3.209689e+00   2.443517e-16   1.225476e-02   3.004517e-18   371884
  3.252186e+00   2.249749e-16   1.227971e-02   2.855798e-18   382280
  3.294633e+00   2.101965e-16   1.224302e-02   2.722310e-18   390888
  3.337059e+00   1.863415e-16   1.226867e-02   2.608588e-18   402234
  3.379565e+00   1.741549e-16   1.225933e-02   2.495974e-18   412576
  3.422105e+00   1.491467e-16   1.228715e-02   2.382579e-18   423732
  3.464636e+00   1.397538e-16   1.227257e-02   2.286111e-18   433624
  3.507180e+00   1.306151e-16   1.228881e-02   2.198398e-18   445154
  3.549739e+00   1.130187e-16   1.227656e-02   2.099256e-18   455584
  3.592238e+00   1.061796e-16   1.225887e-02   2.020375e-18   465588
  3.634685e+00   9.376168e-17   1.226065e-02   1.922921e-18   476762
  3.677219e+00   8.680556e-17   1.229242e-02   1.852164e-18   489552
  3.719789e+00   8.044620e-17   1.227853e-02   1.778749e-18   500328
