# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.197496
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   6.827091e-11   4.792454e-03   1.878416e-11   18
  6.745391e-02   3.161759e-11   1.159167e-02   3.158207e-12   152
  1.090113e-01   1.112360e-11   1.224347e-02   5.479426e-13   416
  1.497134e-01   4.998750e-12   1.165022e-02   1.965758e-13   770
  1.923472e-01   2.631739e-12   1.247860e-02   7.703850e-14   1364
  2.350444e-01   1.507972e-12   1.221820e-02   3.480571e-14   1976
  2.775930e-01   9.733995e-13   1.245022e-02   1.927331e-14   2792
  3.193857e-01   6.798410e-13   1.188722e-02   1.131934e-14   3578
  3.615292e-01   4.748070e-13   1.219808e-02   7.036993e-15   4724
  4.045273e-01   3.543709e-13   1.253838e-02   4.600514e-15   6032
  4.469941e-01   2.635328e-13   1.206640e-02   3.292839e-15   7072
  4.890810e-01   2.145588e-13   1.222555e-02   2.406472e-15   8634
  5.318886e-01   1.762805e-13   1.238102e-02   1.788914e-15   10336
  5.746708e-01   1.424626e-13   1.232804e-02   1.322530e-15   11940
  6.167490e-01   1.178310e-13   1.208586e-02   1.045340e-15   13490
  6.588740e-01   1.022523e-13   1.221778e-02   8.487939e-16   15656
  7.016595e-01   8.726724e-14   1.241043e-02   6.590174e-16   18008
  7.443680e-01   7.453476e-14   1.227786e-02   5.546143e-16   19964
  7.867827e-01   6.395306e-14   1.226437e-02   4.448091e-16   22354
  8.291404e-01   5.618830e-14   1.212327e-02   3.759694e-16   24648
  8.716536e-01   4.972809e-14   1.233244e-02   3.146294e-16   27592
  9.142068e-01   4.425305e-14   1.230127e-02   2.655389e-16   30152
  9.566749e-01   3.921304e-14   1.227622e-02   2.308860e-16   33046
  9.991233e-01   3.498237e-14   1.221538e-02   1.973989e-16   35992
  1.041693e+00   3.217946e-14   1.229906e-02   1.744703e-16   39304
  1.084289e+00   2.867653e-14   1.232858e-02   1.506889e-16   42608
  1.126820e+00   2.621582e-14   1.223307e-02   1.332668e-16   45758
  1.169340e+00   2.351704e-14   1.228914e-02   1.177372e-16   49536
  1.211695e+00   2.177082e-14   1.215683e-02   1.053228e-16   52488
  1.254054e+00   1.978843e-14   1.233851e-02   9.225608e-17   57034
  1.296605e+00   1.796925e-14   1.224458e-02   8.264276e-17   60648
  1.339187e+00   1.651833e-14   1.230532e-02   7.318010e-17   65044
  1.381689e+00   1.515454e-14   1.223104e-02   6.586118e-17   68720
