# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.398845
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.236868e-10   1.198114e-03   5.035754e-11   18
  1.686348e-02   2.644061e-10   2.897918e-03   2.524686e-11   152
  2.725284e-02   1.580201e-10   3.060867e-03   7.392383e-12   416
  3.742835e-02   8.643955e-11   2.912555e-03   3.244370e-12   770
  4.808679e-02   5.401064e-11   3.119650e-03   1.586081e-12   1364
  5.876109e-02   3.563679e-11   3.054550e-03   8.114006e-13   1976
  6.939824e-02   2.700213e-11   3.112555e-03   5.134690e-13   2792
  7.984642e-02   1.978287e-11   2.971805e-03   3.333305e-13   3578
  9.038229e-02   1.419013e-11   3.049521e-03   2.088123e-13   4724
  1.011318e-01   1.063408e-11   3.134595e-03   1.393655e-13   6032
  1.117485e-01   8.267708e-12   3.016599e-03   1.020217e-13   7072
  1.222702e-01   7.029519e-12   3.056387e-03   7.733462e-14   8634
  1.329722e-01   5.937525e-12   3.095256e-03   6.000557e-14   10336
  1.436677e-01   4.867300e-12   3.082009e-03   4.408829e-14   11940
  1.541872e-01   3.971327e-12   3.021465e-03   3.502214e-14   13490
  1.647185e-01   3.371891e-12   3.054444e-03   2.672742e-14   15656
  1.754149e-01   2.856867e-12   3.102608e-03   2.126566e-14   18008
  1.860920e-01   2.518296e-12   3.069464e-03   1.793303e-14   19964
  1.966957e-01   2.210258e-12   3.066093e-03   1.492737e-14   22354
  2.072851e-01   1.897535e-12   3.030819e-03   1.208457e-14   24648
  2.179134e-01   1.664359e-12   3.083109e-03   9.924123e-15   27592
  2.285517e-01   1.495188e-12   3.075318e-03   8.734746e-15   30152
  2.391687e-01   1.326721e-12   3.069056e-03   7.456766e-15   33046
  2.497808e-01   1.203413e-12   3.053846e-03   6.387641e-15   35992
  2.604233e-01   1.097065e-12   3.074764e-03   5.609533e-15   39304
  2.710722e-01   9.911571e-13   3.082145e-03   4.826431e-15   42608
  2.817050e-01   9.012068e-13   3.058267e-03   4.246249e-15   45758
  2.923349e-01   8.138952e-13   3.072286e-03   3.707244e-15   49536
  3.029238e-01   7.468118e-13   3.039208e-03   3.290928e-15   52488
  3.135134e-01   6.977539e-13   3.084628e-03   2.944421e-15   57034
  3.241511e-01   6.289852e-13   3.061146e-03   2.569189e-15   60648
  3.347969e-01   5.929034e-13   3.076329e-03   2.358144e-15   65044
  3.454223e-01   5.496795e-13   3.057760e-03   2.107671e-15   68720
  3.560505e-01   5.073188e-13   3.078281e-03   1.891704e-15   73538
  3.667175e-01   4.718518e-13   3.076939e-03   1.709535e-15   78080
  3.773260e-01   4.442461e-13   3.039859e-03   1.579892e-15   81572
  3.879192e-01   4.153088e-13   3.081238e-03   1.444226e-15   87248
  3.985882e-01   3.873042e-13   3.084591e-03   1.295389e-15   92266
  4.092322e-01   3.651267e-13   3.063169e-03   1.196959e-15   96696
  4.198039e-01   3.414078e-13   3.037602e-03   1.106062e-15   100904
  4.303789e-01   3.238995e-13   3.065517e-03   1.005542e-15   107036
  4.410480e-01   3.048067e-13   3.089487e-03   9.227015e-16   113362
  4.517307e-01   2.888323e-13   3.072092e-03   8.556909e-16   118176
  4.623378e-01   2.730611e-13   3.054661e-03   7.978368e-16   122944
  4.729644e-01   2.587127e-13   3.083007e-03   7.417747e-16   129902
  4.836049e-01   2.462324e-13   3.061727e-03   6.836848e-16   134944
  4.942158e-01   2.333119e-13   3.064979e-03   6.390425e-16   140952
  5.048213e-01   2.224935e-13   3.064662e-03   5.973772e-16   147072
  5.154342e-01   2.114891e-13   3.060800e-03   5.573792e-16   153382
  5.260893e-01   2.019697e-13   3.082622e-03   5.171646e-16   160952
  5.367508e-01   1.909824e-13   3.070294e-03   4.851208e-16   166640
  5.473579e-01   1.837614e-13   3.057153e-03   4.569352e-16   172448
  5.579787e-01   1.748815e-13   3.077577e-03   4.308435e-16   180594
  5.686178e-01   1.683635e-13   3.060710e-03   4.039149e-16   186556
  5.792219e-01   1.602560e-13   3.063394e-03   3.786670e-16   193528
  5.898242e-01   1.540390e-13   3.060684e-03   3.565319e-16   200626
  6.004609e-01   1.470090e-13   3.076604e-03   3.345003e-16   209256
  6.111150e-01   1.412454e-13   3.069663e-03   3.179330e-16   216020
  6.217510e-01   1.365206e-13   3.075746e-03   3.010355e-16   223768
  6.323610e-01   1.311128e-13   3.055783e-03   2.850545e-16   230234
  6.429887e-01   1.263688e-13   3.074922e-03   2.691390e-16   239800
  6.536248e-01   1.208787e-13   3.063054e-03   2.545411e-16   246568
