# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.598923
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.625252e-10   1.198114e-03   5.910618e-11   18
  1.686348e-02   3.112020e-10   2.897918e-03   2.973464e-11   152
  2.725284e-02   1.858666e-10   3.060867e-03   8.690950e-12   416
  3.742835e-02   1.018369e-10   2.912555e-03   3.812270e-12   770
  4.808679e-02   6.394539e-11   3.119650e-03   1.875116e-12   1364
  5.876109e-02   4.197734e-11   3.054550e-03   9.546361e-13   1976
  6.939824e-02   3.200230e-11   3.112555e-03   6.091900e-13   2792
  7.984642e-02   2.332789e-11   2.971805e-03   3.981296e-13   3578
  9.038229e-02   1.680393e-11   3.049521e-03   2.483915e-13   4724
  1.011318e-01   1.242449e-11   3.134595e-03   1.644677e-13   6032
  1.117485e-01   9.713979e-12   3.016599e-03   1.188096e-13   7072
  1.222702e-01   8.173212e-12   3.056387e-03   8.988160e-14   8634
  1.329722e-01   6.937749e-12   3.095256e-03   6.947499e-14   10336
  1.436677e-01   5.608229e-12   3.082009e-03   5.081169e-14   11940
  1.541872e-01   4.505355e-12   3.021465e-03   3.987748e-14   13490
  1.647185e-01   3.734328e-12   3.054444e-03   2.967502e-14   15656
  1.754149e-01   3.156902e-12   3.102608e-03   2.375022e-14   18008
  1.860920e-01   2.786044e-12   3.069464e-03   1.984185e-14   19964
  1.966957e-01   2.428421e-12   3.066093e-03   1.640681e-14   22354
  2.072851e-01   2.071012e-12   3.030819e-03   1.333244e-14   24648
  2.179134e-01   1.785183e-12   3.083109e-03   1.079806e-14   27592
  2.285517e-01   1.555742e-12   3.075318e-03   9.001012e-15   30152
  2.391687e-01   1.376462e-12   3.069056e-03   7.660435e-15   33046
  2.497808e-01   1.251471e-12   3.053846e-03   6.708359e-15   35992
  2.604233e-01   1.123987e-12   3.074764e-03   5.760071e-15   39304
  2.710722e-01   1.017781e-12   3.082145e-03   4.974514e-15   42608
  2.817050e-01   8.971574e-13   3.058267e-03   4.280546e-15   45758
  2.923349e-01   8.006289e-13   3.072286e-03   3.700118e-15   49536
  3.029238e-01   7.272591e-13   3.039208e-03   3.242769e-15   52488
  3.135134e-01   6.711084e-13   3.084628e-03   2.874655e-15   57034
  3.241511e-01   5.981110e-13   3.061146e-03   2.474582e-15   60648
  3.347969e-01   5.535861e-13   3.076329e-03   2.224553e-15   65044
  3.454223e-01   5.103592e-13   3.057760e-03   1.977814e-15   68720
  3.560505e-01   4.632186e-13   3.078281e-03   1.745702e-15   73538
  3.667175e-01   4.264361e-13   3.076939e-03   1.564927e-15   78080
  3.773260e-01   3.964191e-13   3.039859e-03   1.423598e-15   81572
  3.879192e-01   3.674284e-13   3.081238e-03   1.275821e-15   87248
  3.985882e-01   3.386126e-13   3.084591e-03   1.149523e-15   92266
  4.092322e-01   3.154784e-13   3.063169e-03   1.049879e-15   96696
  4.198039e-01   2.922298e-13   3.037602e-03   9.534261e-16   100904
  4.303789e-01   2.722060e-13   3.065517e-03   8.680565e-16   107036
  4.410480e-01   2.551699e-13   3.089487e-03   7.863965e-16   113362
  4.517307e-01   2.373037e-13   3.072092e-03   7.162535e-16   118176
  4.623378e-01   2.229595e-13   3.054661e-03   6.663064e-16   122944
  4.729644e-01   2.091083e-13   3.083007e-03   6.055247e-16   129902
  4.836049e-01   1.938775e-13   3.061727e-03   5.505573e-16   134944
  4.942158e-01   1.843621e-13   3.064979e-03   5.149806e-16   140952
  5.048213e-01   1.715491e-13   3.064662e-03   4.725630e-16   147072
  5.154342e-01   1.620543e-13   3.060800e-03   4.338657e-16   153382
  5.260893e-01   1.536609e-13   3.082622e-03   3.997728e-16   160952
  5.367508e-01   1.443843e-13   3.070294e-03   3.723091e-16   166640
  5.473579e-01   1.367792e-13   3.057153e-03   3.499588e-16   172448
  5.579787e-01   1.291302e-13   3.077577e-03   3.216033e-16   180594
  5.686178e-01   1.221278e-13   3.060710e-03   2.988051e-16   186556
  5.792219e-01   1.158410e-13   3.063394e-03   2.814764e-16   193528
  5.898242e-01   1.103699e-13   3.060684e-03   2.626146e-16   200626
  6.004609e-01   1.043336e-13   3.076604e-03   2.448255e-16   209256
  6.111150e-01   9.962567e-14   3.069663e-03   2.296693e-16   216020
  6.217510e-01   9.470199e-14   3.075746e-03   2.147467e-16   223768
  6.323610e-01   8.943692e-14   3.055783e-03   2.012194e-16   230234
  6.429887e-01   8.551246e-14   3.074922e-03   1.891724e-16   239800
  6.536248e-01   8.154980e-14   3.063054e-03   1.774880e-16   246568
  6.642393e-01   7.801370e-14   3.068328e-03   1.673428e-16   254828
  6.748534e-01   7.417509e-14   3.064424e-03   1.570901e-16   263074
  6.854951e-01   7.059818e-14   3.071509e-03   1.480114e-16   272312
  6.961385e-01   6.757208e-14   3.070197e-03   1.401171e-16   280376
  7.067732e-01   6.480104e-14   3.071500e-03   1.326880e-16   288884
  7.174012e-01   6.162701e-14   3.068501e-03   1.242467e-16   297602
  7.280177e-01   5.955556e-14   3.057614e-03   1.188454e-16   305520
  7.386402e-01   5.673473e-14   3.075198e-03   1.116548e-16   315976
  7.492461e-01   5.419720e-14   3.052723e-03   1.058683e-16   322778
  7.598720e-01   5.237680e-14   3.080021e-03   1.010618e-16   335372
  7.705286e-01   4.978394e-14   3.068318e-03   9.526578e-17   343464
  7.811635e-01   4.770884e-14   3.070705e-03   9.002633e-17   352912
  7.917934e-01   4.592205e-14   3.070498e-03   8.603837e-17   362666
  8.024224e-01   4.437176e-14   3.063690e-03   8.226831e-17   371884
  8.130465e-01   4.236030e-14   3.069929e-03   7.782780e-17   382280
  8.236583e-01   4.075416e-14   3.060755e-03   7.402398e-17   390888
  8.342648e-01   3.918876e-14   3.067168e-03   7.058697e-17   402234
  8.448912e-01   3.789098e-14   3.064832e-03   6.763433e-17   412576
  8.555263e-01   3.616954e-14   3.071788e-03   6.409294e-17   423732
  8.661590e-01   3.496823e-14   3.068142e-03   6.138585e-17   433624
  8.767950e-01   3.363826e-14   3.072203e-03   5.842914e-17   445154
  8.874347e-01   3.232562e-14   3.069139e-03   5.593687e-17   455584
  8.980596e-01   3.114727e-14   3.064716e-03   5.343357e-17   465588
  9.086714e-01   2.988705e-14   3.065163e-03   5.083017e-17   476762
  9.193048e-01   2.894614e-14   3.073106e-03   4.864363e-17   489552
  9.299472e-01   2.796343e-14   3.069632e-03   4.696190e-17   500328
  9.405628e-01   2.698145e-14   3.059261e-03   4.489520e-17   509852
  9.511854e-01   2.594499e-14   3.074339e-03   4.305403e-17   524234
  9.618189e-01   2.507683e-14   3.061952e-03   4.121035e-17   534104
  9.724448e-01   2.416119e-14   3.070528e-03   3.947749e-17   547048
  9.830800e-01   2.336764e-14   3.073862e-03   3.792918e-17   559328
  9.937180e-01   2.257700e-14   3.070866e-03   3.641221e-17   571326
  1.004339e+00   2.185778e-14   3.060367e-03   3.492510e-17   581920
  1.014951e+00   2.102403e-14   3.064588e-03   3.357647e-17   594832
  1.025571e+00   2.039621e-14   3.068054e-03   3.228755e-17   608048
  1.036206e+00   1.966731e-14   3.070252e-03   3.100596e-17   621526
  1.046839e+00   1.900015e-14   3.066112e-03   2.984387e-17   633240
  1.057456e+00   1.840102e-14   3.064953e-03   2.868458e-17   645472
  1.068086e+00   1.786587e-14   3.075342e-03   2.768960e-17   660906
  1.078726e+00   1.728646e-14   3.067576e-03   2.675850e-17   672856
  1.089356e+00   1.666727e-14   3.067094e-03   2.571906e-17   685980
  1.099980e+00   1.612156e-14   3.067978e-03   2.477721e-17   699256
  1.110619e+00   1.560747e-14   3.074976e-03   2.377352e-17   714730
  1.121246e+00   1.510649e-14   3.059348e-03   2.300857e-17   725152
  1.131863e+00   1.460951e-14   3.067634e-03   2.221964e-17   740420
  1.142485e+00   1.412611e-14   3.069089e-03   2.141037e-17   754312
  1.153114e+00   1.369514e-14   3.069897e-03   2.064955e-17   769114
  1.163749e+00   1.337147e-14   3.069209e-03   1.996786e-17   783488
  1.174365e+00   1.287928e-14   3.058900e-03   1.926290e-17   794968
  1.184981e+00   1.252431e-14   3.070107e-03   1.866998e-17   812366
  1.195609e+00   1.213271e-14   3.065134e-03   1.804454e-17   825976
  1.206250e+00   1.174715e-14   3.075220e-03   1.740613e-17   843352
  1.216898e+00   1.142701e-14   3.073224e-03   1.685655e-17   857280
  1.227524e+00   1.109284e-14   3.063189e-03   1.637613e-17   869542
  1.238147e+00   1.075160e-14   3.070752e-03   1.580212e-17   887128
  1.248772e+00   1.043208e-14   3.063166e-03   1.530990e-17   900032
  1.259388e+00   1.007050e-14   3.067377e-03   1.475413e-17   916560
  1.270005e+00   9.758849e-15   3.061783e-03   1.432439e-17   930922
  1.280635e+00   9.489942e-15   3.071795e-03   1.382438e-17   949844
  1.291287e+00   9.214977e-15   3.076939e-03   1.343784e-17   966736
  1.301925e+00   8.959538e-15   3.065819e-03   1.305893e-17   978776
  1.312537e+00   8.710396e-15   3.064137e-03   1.271885e-17   994522
  1.323161e+00   8.423678e-15   3.068907e-03   1.227148e-17   1012420
  1.333794e+00   8.189167e-15   3.071598e-03   1.190643e-17   1029408
  1.344410e+00   7.955793e-15   3.058405e-03   1.157007e-17   1041658
  1.355032e+00   7.708242e-15   3.072381e-03   1.120561e-17   1063520
  1.365659e+00   7.485379e-15   3.060689e-03   1.086759e-17   1075808
  1.376294e+00   7.286974e-15   3.080019e-03   1.056624e-17   1098956
  1.386928e+00   7.072894e-15   3.061670e-03   1.026775e-17   1109810
  1.397545e+00   6.895475e-15   3.065288e-03   9.992508e-18   1128608
  1.408178e+00   6.690992e-15   3.073589e-03   9.685505e-18   1148264
  1.418813e+00   6.486847e-15   3.067917e-03   9.425461e-18   1163252
  1.429436e+00   6.306313e-15   3.067070e-03   9.144750e-18   1181042
  1.440060e+00   6.131344e-15   3.064325e-03   8.895293e-18   1197848
  1.450692e+00   5.950364e-15   3.073737e-03   8.648417e-18   1218848
  1.461323e+00   5.771882e-15   3.064859e-03   8.414056e-18   1232916
  1.471945e+00   5.621850e-15   3.068844e-03   8.162335e-18   1253002
  1.482566e+00   5.447496e-15   3.062284e-03   7.947039e-18   1268576
  1.493191e+00   5.318865e-15   3.071552e-03   7.751426e-18   1290128
  1.503822e+00   5.158989e-15   3.068342e-03   7.558374e-18   1307402
  1.514455e+00   5.014892e-15   3.069122e-03   7.352896e-18   1327028
  1.525083e+00   4.871282e-15   3.064970e-03   7.144246e-18   1343648
  1.535711e+00   4.754963e-15   3.070217e-03   6.987412e-18   1364096
  1.546341e+00   4.618985e-15   3.068950e-03   6.779641e-18   1382730
  1.556974e+00   4.469371e-15   3.068757e-03   6.596643e-18   1402164
  1.567604e+00   4.359887e-15   3.068159e-03   6.448883e-18   1420464
  1.578221e+00   4.236082e-15   3.063798e-03   6.280789e-18   1437368
  1.588847e+00   4.137555e-15   3.072142e-03   6.128936e-18   1461530
  1.599480e+00   4.003407e-15   3.065069e-03   5.957462e-18   1478264
  1.610108e+00   3.895574e-15   3.068902e-03   5.819124e-18   1499356
  1.620732e+00   3.774762e-15   3.065238e-03   5.678914e-18   1517016
  1.631360e+00   3.693432e-15   3.070849e-03   5.540192e-18   1540090
  1.641988e+00   3.584664e-15   3.065366e-03   5.404983e-18   1557360
  1.652609e+00   3.486642e-15   3.066926e-03   5.276283e-18   1577780
  1.663242e+00   3.390252e-15   3.075107e-03   5.140845e-18   1602578
  1.673875e+00   3.297713e-15   3.063542e-03   5.027723e-18   1617672
  1.684498e+00   3.219173e-15   3.069033e-03   4.910094e-18   1641016
  1.695122e+00   3.131017e-15   3.065080e-03   4.802423e-18   1659416
  1.705746e+00   3.034863e-15   3.068431e-03   4.676719e-18   1682670
  1.716382e+00   2.958145e-15   3.070690e-03   4.565379e-18   1705256
  1.727024e+00   2.871825e-15   3.071890e-03   4.462614e-18   1726312
  1.737645e+00   2.797087e-15   3.062639e-03   4.368468e-18   1741880
