# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.093858
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.572302e-10   1.198114e-03   5.791259e-11   18
  1.686348e-02   3.047772e-10   2.897918e-03   2.911752e-11   152
  2.725284e-02   1.820529e-10   3.060867e-03   8.513622e-12   416
  3.742835e-02   9.970644e-11   2.912555e-03   3.734758e-12   770
  4.808679e-02   6.253372e-11   3.119650e-03   1.834874e-12   1364
  5.876109e-02   4.106637e-11   3.054550e-03   9.347482e-13   1976
  6.939824e-02   3.126069e-11   3.112555e-03   5.953066e-13   2792
  7.984642e-02   2.279242e-11   2.971805e-03   3.885493e-13   3578
  9.038229e-02   1.638681e-11   3.049521e-03   2.423635e-13   4724
  1.011318e-01   1.212745e-11   3.134595e-03   1.607641e-13   6032
  1.117485e-01   9.461608e-12   3.016599e-03   1.162887e-13   7072
  1.222702e-01   7.967210e-12   3.056387e-03   8.792743e-14   8634
  1.329722e-01   6.746514e-12   3.095256e-03   6.794276e-14   10336
  1.436677e-01   5.456953e-12   3.082009e-03   4.970064e-14   11940
  1.541872e-01   4.387110e-12   3.021465e-03   3.907178e-14   13490
  1.647185e-01   3.643991e-12   3.054444e-03   2.917320e-14   15656
  1.754149e-01   3.074212e-12   3.102608e-03   2.326866e-14   18008
  1.860920e-01   2.707080e-12   3.069464e-03   1.944294e-14   19964
  1.966957e-01   2.356714e-12   3.066093e-03   1.610674e-14   22354
  2.072851e-01   2.006358e-12   3.030819e-03   1.305478e-14   24648
  2.179134e-01   1.729794e-12   3.083109e-03   1.057935e-14   27592
  2.285517e-01   1.510744e-12   3.075318e-03   8.896317e-15   30152
  2.391687e-01   1.333976e-12   3.069056e-03   7.564111e-15   33046
  2.497808e-01   1.209340e-12   3.053846e-03   6.586960e-15   35992
  2.604233e-01   1.085108e-12   3.074764e-03   5.677098e-15   39304
  2.710722e-01   9.799760e-13   3.082145e-03   4.889972e-15   42608
  2.817050e-01   8.655633e-13   3.058267e-03   4.215522e-15   45758
  2.923349e-01   7.702044e-13   3.072286e-03   3.648626e-15   49536
  3.029238e-01   6.991824e-13   3.039208e-03   3.191185e-15   52488
  3.135134e-01   6.443823e-13   3.084628e-03   2.837188e-15   57034
  3.241511e-01   5.722274e-13   3.061146e-03   2.441379e-15   60648
  3.347969e-01   5.292821e-13   3.076329e-03   2.194980e-15   65044
  3.454223e-01   4.865868e-13   3.057760e-03   1.952611e-15   68720
  3.560505e-01   4.404906e-13   3.078281e-03   1.724803e-15   73538
  3.667175e-01   4.049647e-13   3.076939e-03   1.548475e-15   78080
  3.773260e-01   3.756404e-13   3.039859e-03   1.409281e-15   81572
  3.879192e-01   3.471754e-13   3.081238e-03   1.263391e-15   87248
  3.985882e-01   3.188736e-13   3.084591e-03   1.135300e-15   92266
  4.092322e-01   2.965674e-13   3.063169e-03   1.039250e-15   96696
  4.198039e-01   2.731462e-13   3.037602e-03   9.412125e-16   100904
  4.303789e-01   2.544815e-13   3.065517e-03   8.581044e-16   107036
  4.410480e-01   2.379460e-13   3.089487e-03   7.781397e-16   113362
  4.517307e-01   2.204188e-13   3.072092e-03   7.060199e-16   118176
  4.623378e-01   2.060513e-13   3.054661e-03   6.593633e-16   122944
  4.729644e-01   1.927919e-13   3.083007e-03   6.006062e-16   129902
  4.836049e-01   1.779503e-13   3.061727e-03   5.451570e-16   134944
  4.942158e-01   1.689270e-13   3.064979e-03   5.099815e-16   140952
  5.048213e-01   1.563038e-13   3.064662e-03   4.672429e-16   147072
  5.154342e-01   1.471187e-13   3.060800e-03   4.292447e-16   153382
  5.260893e-01   1.388261e-13   3.082622e-03   3.948977e-16   160952
  5.367508e-01   1.297492e-13   3.070294e-03   3.677186e-16   166640
  5.473579e-01   1.229110e-13   3.057153e-03   3.458201e-16   172448
  5.579787e-01   1.150568e-13   3.077577e-03   3.183038e-16   180594
  5.686178e-01   1.084608e-13   3.060710e-03   2.957197e-16   186556
  5.792219e-01   1.023544e-13   3.063394e-03   2.768231e-16   193528
  5.898242e-01   9.690697e-14   3.060684e-03   2.589199e-16   200626
