# cross spectrum of phi(z1) and phi(z2)
# redshift z=2.093687
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.640277e-10   1.198114e-03   5.944477e-11   18
  1.686348e-02   3.130269e-10   2.897918e-03   2.990984e-11   152
  2.725284e-02   1.869549e-10   3.060867e-03   8.741442e-12   416
  3.742835e-02   1.024509e-10   2.912555e-03   3.834488e-12   770
  4.808679e-02   6.435738e-11   3.119650e-03   1.886699e-12   1364
  5.876109e-02   4.225042e-11   3.054550e-03   9.604585e-13   1976
  6.939824e-02   3.222831e-11   3.112555e-03   6.132976e-13   2792
  7.984642e-02   2.349640e-11   2.971805e-03   4.009758e-13   3578
  9.038229e-02   1.693944e-11   3.049521e-03   2.502361e-13   4724
  1.011318e-01   1.252654e-11   3.134595e-03   1.656174e-13   6032
  1.117485e-01   9.802824e-12   3.016599e-03   1.196292e-13   7072
  1.222702e-01   8.249328e-12   3.056387e-03   9.053408e-14   8634
  1.329722e-01   7.010117e-12   3.095256e-03   7.000642e-14   10336
  1.436677e-01   5.668685e-12   3.082009e-03   5.120504e-14   11940
  1.541872e-01   4.556035e-12   3.021465e-03   4.018048e-14   13490
  1.647185e-01   3.776582e-12   3.054444e-03   2.988040e-14   15656
  1.754149e-01   3.196677e-12   3.102608e-03   2.394855e-14   18008
  1.860920e-01   2.824729e-12   3.069464e-03   2.001341e-14   19964
  1.966957e-01   2.464533e-12   3.066093e-03   1.654409e-14   22354
  2.072851e-01   2.104605e-12   3.030819e-03   1.345790e-14   24648
  2.179134e-01   1.815847e-12   3.083109e-03   1.090480e-14   27592
  2.285517e-01   1.583161e-12   3.075318e-03   9.073194e-15   30152
  2.391687e-01   1.402634e-12   3.069056e-03   7.728418e-15   33046
  2.497808e-01   1.277240e-12   3.053846e-03   6.779809e-15   35992
  2.604233e-01   1.148686e-12   3.074764e-03   5.818717e-15   39304
  2.710722e-01   1.041819e-12   3.082145e-03   5.031636e-15   42608
  2.817050e-01   9.190484e-13   3.058267e-03   4.329756e-15   45758
  2.923349e-01   8.219159e-13   3.072286e-03   3.743550e-15   49536
  3.029238e-01   7.475209e-13   3.039208e-03   3.284461e-15   52488
  3.135134e-01   6.909298e-13   3.084628e-03   2.910748e-15   57034
  3.241511e-01   6.172884e-13   3.061146e-03   2.508178e-15   60648
  3.347969e-01   5.721516e-13   3.076329e-03   2.256330e-15   65044
  3.454223e-01   5.285041e-13   3.057760e-03   2.007089e-15   68720
  3.560505e-01   4.808403e-13   3.078281e-03   1.772399e-15   73538
  3.667175e-01   4.433457e-13   3.076939e-03   1.589267e-15   78080
  3.773260e-01   4.129890e-13   3.039859e-03   1.446852e-15   81572
  3.879192e-01   3.837296e-13   3.081238e-03   1.297660e-15   87248
  3.985882e-01   3.545351e-13   3.084591e-03   1.170694e-15   92266
  4.092322e-01   3.309309e-13   3.063169e-03   1.069925e-15   96696
  4.198039e-01   3.075697e-13   3.037602e-03   9.733623e-16   100904
  4.303789e-01   2.869664e-13   3.065517e-03   8.861069e-16   107036
  4.410480e-01   2.695926e-13   3.089487e-03   8.034113e-16   113362
  4.517307e-01   2.514715e-13   3.072092e-03   7.332753e-16   118176
  4.623378e-01   2.370917e-13   3.054661e-03   6.820804e-16   122944
  4.729644e-01   2.228234e-13   3.083007e-03   6.198405e-16   129902
  4.836049e-01   2.074166e-13   3.061727e-03   5.648186e-16   134944
  4.942158e-01   1.975672e-13   3.064979e-03   5.285965e-16   140952
  5.048213e-01   1.846151e-13   3.064662e-03   4.858522e-16   147072
  5.154342e-01   1.748630e-13   3.060800e-03   4.464053e-16   153382
