# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.596562
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.415855e-10   1.198114e-03   5.438774e-11   18
  1.686348e-02   2.858911e-10   2.897918e-03   2.730512e-11   152
  2.725284e-02   1.708330e-10   3.060867e-03   7.990567e-12   416
  3.742835e-02   9.349997e-11   2.912555e-03   3.506346e-12   770
  4.808679e-02   5.851354e-11   3.119650e-03   1.718106e-12   1364
  5.876109e-02   3.851367e-11   3.054550e-03   8.771914e-13   1976
  6.939824e-02   2.923916e-11   3.112555e-03   5.565010e-13   2792
  7.984642e-02   2.136722e-11   2.971805e-03   3.621621e-13   3578
  9.038229e-02   1.533224e-11   3.049521e-03   2.262756e-13   4724
  1.011318e-01   1.141397e-11   3.134595e-03   1.506787e-13   6032
  1.117485e-01   8.882999e-12   3.016599e-03   1.096325e-13   7072
  1.222702e-01   7.515936e-12   3.056387e-03   8.294889e-14   8634
  1.329722e-01   6.349918e-12   3.095256e-03   6.421196e-14   10336
  1.436677e-01   5.167661e-12   3.082009e-03   4.705424e-14   11940
  1.541872e-01   4.184163e-12   3.021465e-03   3.721138e-14   13490
  1.647185e-01   3.512876e-12   3.054444e-03   2.808654e-14   15656
  1.754149e-01   2.966121e-12   3.102608e-03   2.233080e-14   18008
  1.860920e-01   2.611298e-12   3.069464e-03   1.873463e-14   19964
  1.966957e-01   2.279625e-12   3.066093e-03   1.558055e-14   22354
  2.072851e-01   1.946246e-12   3.030819e-03   1.259441e-14   24648
  2.179134e-01   1.691641e-12   3.083109e-03   1.026939e-14   27592
  2.285517e-01   1.498173e-12   3.075318e-03   8.860394e-15   30152
  2.391687e-01   1.324464e-12   3.069056e-03   7.547202e-15   33046
  2.497808e-01   1.199274e-12   3.053846e-03   6.495855e-15   35992
  2.604233e-01   1.083591e-12   3.074764e-03   5.665186e-15   39304
  2.710722e-01   9.779694e-13   3.082145e-03   4.868662e-15   42608
  2.817050e-01   8.765210e-13   3.058267e-03   4.237372e-15   45758
  2.923349e-01   7.839337e-13   3.072286e-03   3.686070e-15   49536
  3.029238e-01   7.155047e-13   3.039208e-03   3.236662e-15   52488
  3.135134e-01   6.634554e-13   3.084628e-03   2.893762e-15   57034
  3.241511e-01   5.920020e-13   3.061146e-03   2.505112e-15   60648
  3.347969e-01   5.524370e-13   3.076329e-03   2.272807e-15   65044
  3.454223e-01   5.088602e-13   3.057760e-03   2.027264e-15   68720
  3.560505e-01   4.642930e-13   3.078281e-03   1.804450e-15   73538
  3.667175e-01   4.288093e-13   3.076939e-03   1.626063e-15   78080
  3.773260e-01   4.003070e-13   3.039859e-03   1.491641e-15   81572
  3.879192e-01   3.716304e-13   3.081238e-03   1.349428e-15   87248
  3.985882e-01   3.431461e-13   3.084591e-03   1.207614e-15   92266
  4.092322e-01   3.210494e-13   3.063169e-03   1.115169e-15   96696
  4.198039e-01   2.965381e-13   3.037602e-03   1.016153e-15   100904
  4.303789e-01   2.791802e-13   3.065517e-03   9.242616e-16   107036
  4.410480e-01   2.616345e-13   3.089487e-03   8.444406e-16   113362
  4.517307e-01   2.441867e-13   3.072092e-03   7.704876e-16   118176
  4.623378e-01   2.291931e-13   3.054661e-03   7.223415e-16   122944
  4.729644e-01   2.154500e-13   3.083007e-03   6.653573e-16   129902
  4.836049e-01   2.016024e-13   3.061727e-03   6.069045e-16   134944
  4.942158e-01   1.910332e-13   3.064979e-03   5.680060e-16   140952
  5.048213e-01   1.789107e-13   3.064662e-03   5.241116e-16   147072
  5.154342e-01   1.687543e-13   3.060800e-03   4.852921e-16   153382
  5.260893e-01   1.595770e-13   3.082622e-03   4.485345e-16   160952
  5.367508e-01   1.494880e-13   3.070294e-03   4.184023e-16   166640
  5.473579e-01   1.433568e-13   3.057153e-03   3.948688e-16   172448
  5.579787e-01   1.345176e-13   3.077577e-03   3.671259e-16   180594
  5.686178e-01   1.279618e-13   3.060710e-03   3.428632e-16   186556
  5.792219e-01   1.208173e-13   3.063394e-03   3.184057e-16   193528
  5.898242e-01   1.148670e-13   3.060684e-03   3.002033e-16   200626
  6.004609e-01   1.087446e-13   3.076604e-03   2.810342e-16   209256
  6.111150e-01   1.034171e-13   3.069663e-03   2.649509e-16   216020
  6.217510e-01   9.901787e-14   3.075746e-03   2.498863e-16   223768
  6.323610e-01   9.354288e-14   3.055783e-03   2.353953e-16   230234
  6.429887e-01   8.936564e-14   3.074922e-03   2.206171e-16   239800
  6.536248e-01   8.494560e-14   3.063054e-03   2.091453e-16   246568
  6.642393e-01   8.150757e-14   3.068328e-03   1.986044e-16   254828
  6.748534e-01   7.683995e-14   3.064424e-03   1.854504e-16   263074
  6.854951e-01   7.341205e-14   3.071509e-03   1.759959e-16   272312
  6.961385e-01   7.025684e-14   3.070197e-03   1.664461e-16   280376
  7.067732e-01   6.713494e-14   3.071500e-03   1.586241e-16   288884
  7.174012e-01   6.378468e-14   3.068501e-03   1.494704e-16   297602
  7.280177e-01   6.144237e-14   3.057614e-03   1.429268e-16   305520
  7.386402e-01   5.849248e-14   3.075198e-03   1.351230e-16   315976
  7.492461e-01   5.556364e-14   3.052723e-03   1.288272e-16   322778
  7.598720e-01   5.358520e-14   3.080021e-03   1.224440e-16   335372
  7.705286e-01   5.096243e-14   3.068318e-03   1.166050e-16   343464
  7.811635e-01   4.888106e-14   3.070705e-03   1.112473e-16   352912
  7.917934e-01   4.676651e-14   3.070498e-03   1.059895e-16   362666
  8.024224e-01   4.461904e-14   3.063690e-03   1.012086e-16   371884
  8.130465e-01   4.296512e-14   3.069929e-03   9.610327e-17   382280
  8.236583e-01   4.116857e-14   3.060755e-03   9.250561e-17   390888
  8.342648e-01   3.943038e-14   3.067168e-03   8.820326e-17   402234
  8.448912e-01   3.782205e-14   3.064832e-03   8.454548e-17   412576
  8.555263e-01   3.600539e-14   3.071788e-03   8.021865e-17   423732
  8.661590e-01   3.459608e-14   3.068142e-03   7.694085e-17   433624
  8.767950e-01   3.324648e-14   3.072203e-03   7.373303e-17   445154
  8.874347e-01   3.202765e-14   3.069139e-03   7.107774e-17   455584
  8.980596e-01   3.046194e-14   3.064716e-03   6.767701e-17   465588
  9.086714e-01   2.932084e-14   3.065163e-03   6.507283e-17   476762
  9.193048e-01   2.814247e-14   3.073106e-03   6.244714e-17   489552
  9.299472e-01   2.706582e-14   3.069632e-03   6.014202e-17   500328
  9.405628e-01   2.604485e-14   3.059261e-03   5.788503e-17   509852
  9.511854e-01   2.489823e-14   3.074339e-03   5.534857e-17   524234
  9.618189e-01   2.394296e-14   3.061952e-03   5.329106e-17   534104
  9.724448e-01   2.302403e-14   3.070528e-03   5.128358e-17   547048
  9.830800e-01   2.200511e-14   3.073862e-03   4.921118e-17   559328
  9.937180e-01   2.126841e-14   3.070866e-03   4.754416e-17   571326
  1.004339e+00   2.030445e-14   3.060367e-03   4.587109e-17   581920
  1.014951e+00   1.952824e-14   3.064588e-03   4.422427e-17   594832
  1.025571e+00   1.866177e-14   3.068054e-03   4.228148e-17   608048
  1.036206e+00   1.816049e-14   3.070252e-03   4.114753e-17   621526
  1.046839e+00   1.744291e-14   3.066112e-03   3.962738e-17   633240
  1.057456e+00   1.669805e-14   3.064953e-03   3.819187e-17   645472
  1.068086e+00   1.594945e-14   3.075342e-03   3.680336e-17   660906
  1.078726e+00   1.538546e-14   3.067576e-03   3.564671e-17   672856
  1.089356e+00   1.478194e-14   3.067094e-03   3.437664e-17   685980
  1.099980e+00   1.426383e-14   3.067978e-03   3.313394e-17   699256
  1.110619e+00   1.367676e-14   3.074976e-03   3.207684e-17   714730
  1.121246e+00   1.323466e-14   3.059348e-03   3.124097e-17   725152
  1.131863e+00   1.266753e-14   3.067634e-03   3.003154e-17   740420
  1.142485e+00   1.213255e-14   3.069089e-03   2.915172e-17   754312
  1.153114e+00   1.166877e-14   3.069897e-03   2.815017e-17   769114
  1.163749e+00   1.123153e-14   3.069209e-03   2.726257e-17   783488
  1.174365e+00   1.080298e-14   3.058900e-03   2.650730e-17   794968
  1.184981e+00   1.040311e-14   3.070107e-03   2.560475e-17   812366
  1.195609e+00   9.957954e-15   3.065134e-03   2.478227e-17   825976
  1.206250e+00   9.568314e-15   3.075220e-03   2.402885e-17   843352
  1.216898e+00   9.197026e-15   3.073224e-03   2.326815e-17   857280
  1.227524e+00   8.930758e-15   3.063189e-03   2.270569e-17   869542
  1.238147e+00   8.541676e-15   3.070752e-03   2.196843e-17   887128
  1.248772e+00   8.277400e-15   3.063166e-03   2.138846e-17   900032
  1.259388e+00   7.903479e-15   3.067377e-03   2.070544e-17   916560
  1.270005e+00   7.603305e-15   3.061783e-03   2.009892e-17   930922
  1.280635e+00   7.366200e-15   3.071795e-03   1.953724e-17   949844
  1.291287e+00   7.116523e-15   3.076939e-03   1.897317e-17   966736
  1.301925e+00   6.801413e-15   3.065819e-03   1.846553e-17   978776
  1.312537e+00   6.550844e-15   3.064137e-03   1.801627e-17   994522
  1.323161e+00   6.296720e-15   3.068907e-03   1.744876e-17   1012420
  1.333794e+00   6.081354e-15   3.071598e-03   1.696502e-17   1029408
  1.344410e+00   5.873934e-15   3.058405e-03   1.657585e-17   1041658
  1.355032e+00   5.632268e-15   3.072381e-03   1.605626e-17   1063520
  1.365659e+00   5.422019e-15   3.060689e-03   1.572074e-17   1075808
  1.376294e+00   5.205851e-15   3.080019e-03   1.521331e-17   1098956
  1.386928e+00   5.063912e-15   3.061670e-03   1.489705e-17   1109810
  1.397545e+00   4.839150e-15   3.065288e-03   1.446499e-17   1128608
  1.408178e+00   4.667021e-15   3.073589e-03   1.408227e-17   1148264
  1.418813e+00   4.454801e-15   3.067917e-03   1.372166e-17   1163252
  1.429436e+00   4.305487e-15   3.067070e-03   1.334576e-17   1181042
  1.440060e+00   4.124126e-15   3.064325e-03   1.301373e-17   1197848
  1.450692e+00   3.948128e-15   3.073737e-03   1.263964e-17   1218848
  1.461323e+00   3.853104e-15   3.064859e-03   1.237841e-17   1232916
  1.471945e+00   3.681808e-15   3.068844e-03   1.207653e-17   1253002
  1.482566e+00   3.520506e-15   3.062284e-03   1.177905e-17   1268576
  1.493191e+00   3.398121e-15   3.071552e-03   1.145664e-17   1290128
  1.503822e+00   3.260701e-15   3.068342e-03   1.121900e-17   1307402
  1.514455e+00   3.151924e-15   3.069122e-03   1.090890e-17   1327028
  1.525083e+00   3.033143e-15   3.064970e-03   1.067460e-17   1343648
  1.535711e+00   2.905705e-15   3.070217e-03   1.039502e-17   1364096
  1.546341e+00   2.821547e-15   3.068950e-03   1.017644e-17   1382730
  1.556974e+00   2.684598e-15   3.068757e-03   9.928528e-18   1402164
  1.567604e+00   2.616822e-15   3.068159e-03   9.699785e-18   1420464
  1.578221e+00   2.509544e-15   3.063798e-03   9.462463e-18   1437368
  1.588847e+00   2.417954e-15   3.072142e-03   9.239650e-18   1461530
  1.599480e+00   2.321583e-15   3.065069e-03   9.021221e-18   1478264
  1.610108e+00   2.233482e-15   3.068902e-03   8.811663e-18   1499356
  1.620732e+00   2.151279e-15   3.065238e-03   8.616218e-18   1517016
  1.631360e+00   2.076335e-15   3.070849e-03   8.432076e-18   1540090
  1.641988e+00   1.964265e-15   3.065366e-03   8.224062e-18   1557360
  1.652609e+00   1.934367e-15   3.066926e-03   8.063197e-18   1577780
  1.663242e+00   1.835184e-15   3.075107e-03   7.861076e-18   1602578
  1.673875e+00   1.800863e-15   3.063542e-03   7.708780e-18   1617672
  1.684498e+00   1.733067e-15   3.069033e-03   7.544638e-18   1641016
  1.695122e+00   1.662356e-15   3.065080e-03   7.371600e-18   1659416
  1.705746e+00   1.592494e-15   3.068431e-03   7.197520e-18   1682670
  1.716382e+00   1.521678e-15   3.070690e-03   7.049275e-18   1705256
  1.727024e+00   1.480753e-15   3.071890e-03   6.881679e-18   1726312
  1.737645e+00   1.451635e-15   3.062639e-03   6.766175e-18   1741880
  1.748261e+00   1.363397e-15   3.067156e-03   6.604620e-18   1766454
  1.758897e+00   1.327271e-15   3.073105e-03   6.454750e-18   1791784
  1.769528e+00   1.279993e-15   3.063894e-03   6.335893e-18   1807712
  1.780139e+00   1.224207e-15   3.062775e-03   6.215554e-18   1829002
  1.790759e+00   1.196085e-15   3.067263e-03   6.074644e-18   1854216
  1.801400e+00   1.138040e-15   3.074631e-03   5.936534e-18   1880156
  1.812037e+00   1.083585e-15   3.068349e-03   5.825234e-18   1897568
  1.822663e+00   1.053762e-15   3.068475e-03   5.700870e-18   1920458
  1.833288e+00   1.012912e-15   3.065997e-03   5.588494e-18   1942208
  1.843915e+00   9.757138e-16   3.067813e-03   5.467097e-18   1965612
  1.854544e+00   9.351064e-16   3.069639e-03   5.351147e-18   1989000
  1.865168e+00   9.011567e-16   3.064465e-03   5.243303e-18   2009114
  1.875791e+00   8.826479e-16   3.067400e-03   5.144295e-18   2034464
  1.886424e+00   8.416969e-16   3.070174e-03   5.035540e-18   2058476
  1.897052e+00   8.205807e-16   3.068039e-03   4.931386e-18   2079648
  1.907673e+00   7.951691e-16   3.065891e-03   4.837078e-18   2102578
  1.918306e+00   7.684801e-16   3.070742e-03   4.734852e-18   2129928
  1.928942e+00   7.296616e-16   3.069733e-03   4.654613e-18   2152096
  1.939563e+00   6.994910e-16   3.062858e-03   4.561435e-18   2171142
  1.950185e+00   6.799799e-16   3.069150e-03   4.467516e-18   2200248
  1.960824e+00   6.564337e-16   3.071017e-03   4.377916e-18   2225216
  1.971460e+00   6.285604e-16   3.070942e-03   4.291073e-18   2248448
  1.982084e+00   6.172691e-16   3.064272e-03   4.215123e-18   2267942
  1.992710e+00   5.892212e-16   3.071051e-03   4.133071e-18   2298072
  2.003337e+00   5.609746e-16   3.064068e-03   4.054689e-18   2317272
  2.013961e+00   5.366371e-16   3.069747e-03   3.972156e-18   2345808
  2.024580e+00   5.250124e-16   3.062469e-03   3.897711e-18   2365650
  2.035206e+00   5.055104e-16   3.069930e-03   3.821647e-18   2396940
  2.045842e+00   4.928361e-16   3.069936e-03   3.758208e-18   2421272
  2.056473e+00   4.851614e-16   3.068399e-03   3.684865e-18   2444576
  2.067102e+00   4.498753e-16   3.069748e-03   3.606097e-18   2471490
  2.077728e+00   4.315805e-16   3.064854e-03   3.543025e-18   2493180
  2.088349e+00   4.266509e-16   3.068019e-03   3.478955e-18   2520952
  2.098972e+00   3.977128e-16   3.065319e-03   3.407067e-18   2544946
  2.109598e+00   3.967307e-16   3.068311e-03   3.347930e-18   2573856
  2.120230e+00   3.846452e-16   3.069026e-03   3.283109e-18   2600016
  2.130862e+00   3.749862e-16   3.069102e-03   3.226301e-18   2625484
  2.141490e+00   3.584991e-16   3.068080e-03   3.163844e-18   2651122
  2.152130e+00   3.509785e-16   3.074348e-03   3.107623e-18   2683488
  2.162754e+00   3.335341e-16   3.059466e-03   3.056342e-18   2696352
  2.173371e+00   3.181963e-16   3.071171e-03   2.993892e-18   2733020
  2.184002e+00   3.141406e-16   3.067530e-03   2.935040e-18   2757378
  2.194631e+00   3.018713e-16   3.067942e-03   2.887292e-18   2784864
  2.205259e+00   2.915095e-16   3.067811e-03   2.832725e-18   2811168
  2.215874e+00   2.826202e-16   3.061061e-03   2.789259e-18   2832274
  2.226505e+00   2.776733e-16   3.075611e-03   2.730209e-18   2873636
  2.237142e+00   2.552682e-16   3.064877e-03   2.687808e-18   2890496
  2.247766e+00   2.522469e-16   3.069851e-03   2.635861e-18   2921800
  2.258399e+00   2.447573e-16   3.071101e-03   2.587606e-18   2951298
  2.269032e+00   2.397323e-16   3.066274e-03   2.546048e-18   2975476
  2.279663e+00   2.342845e-16   3.071375e-03   2.494971e-18   3007728
  2.290285e+00   2.231945e-16   3.061886e-03   2.458287e-18   3025776
  2.300910e+00   2.180136e-16   3.072955e-03   2.418071e-18   3065762
  2.311540e+00   2.085989e-16   3.063208e-03   2.369012e-18   3084856
  2.322162e+00   2.065516e-16   3.068985e-03   2.327153e-18   3118044
  2.332782e+00   1.927095e-16   3.064319e-03   2.288952e-18   3141352
  2.343410e+00   1.916796e-16   3.072036e-03   2.248887e-18   3179274
  2.354046e+00   1.840569e-16   3.067682e-03   2.208651e-18   3204120
  2.364668e+00   1.815370e-16   3.063610e-03   2.173011e-18   3227900
  2.375288e+00   1.738324e-16   3.068722e-03   2.136151e-18   3262394
  2.385925e+00   1.632291e-16   3.071814e-03   2.094975e-18   3295680
  2.396559e+00   1.620064e-16   3.067166e-03   2.059477e-18   3319560
  2.407184e+00   1.603771e-16   3.068070e-03   2.024852e-18   3348972
  2.417810e+00   1.554002e-16   3.068540e-03   1.989845e-18   3379722
  2.428441e+00   1.508393e-16   3.068348e-03   1.957125e-18   3410720
