# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.596562
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.462495e-10   1.198114e-03   5.544027e-11   18
  1.686348e-02   2.915622e-10   2.897918e-03   2.785193e-11   152
  2.725284e-02   1.741435e-10   3.060867e-03   8.145521e-12   416
  3.742835e-02   9.528769e-11   2.912555e-03   3.572659e-12   770
  4.808679e-02   5.964538e-11   3.119650e-03   1.752216e-12   1364
  5.876109e-02   3.915618e-11   3.054550e-03   8.928406e-13   1976
  6.939824e-02   2.972590e-11   3.112555e-03   5.670573e-13   2792
  7.984642e-02   2.165521e-11   2.971805e-03   3.693730e-13   3578
  9.038229e-02   1.550939e-11   3.049521e-03   2.301769e-13   4724
  1.011318e-01   1.147316e-11   3.134595e-03   1.528878e-13   6032
  1.117485e-01   8.911356e-12   3.016599e-03   1.106779e-13   7072
  1.222702e-01   7.497041e-12   3.056387e-03   8.354968e-14   8634
  1.329722e-01   6.314879e-12   3.095256e-03   6.447275e-14   10336
  1.436677e-01   5.101698e-12   3.082009e-03   4.714135e-14   11940
  1.541872e-01   4.092422e-12   3.021465e-03   3.706913e-14   13490
  1.647185e-01   3.399737e-12   3.054444e-03   2.777437e-14   15656
  1.754149e-01   2.851468e-12   3.102608e-03   2.203312e-14   18008
  1.860920e-01   2.495527e-12   3.069464e-03   1.839431e-14   19964
  1.966957e-01   2.163017e-12   3.066093e-03   1.525228e-14   22354
  2.072851e-01   1.830117e-12   3.030819e-03   1.230935e-14   24648
  2.179134e-01   1.571119e-12   3.083109e-03   9.955894e-15   27592
  2.285517e-01   1.370465e-12   3.075318e-03   8.460676e-15   30152
  2.391687e-01   1.201948e-12   3.069056e-03   7.168904e-15   33046
  2.497808e-01   1.081168e-12   3.053846e-03   6.193552e-15   35992
  2.604233e-01   9.645273e-13   3.074764e-03   5.352439e-15   39304
  2.710722e-01   8.635273e-13   3.082145e-03   4.582500e-15   42608
  2.817050e-01   7.604990e-13   3.058267e-03   3.953889e-15   45758
  2.923349e-01   6.703094e-13   3.072286e-03   3.419024e-15   49536
  3.029238e-01   6.048938e-13   3.039208e-03   2.983364e-15   52488
  3.135134e-01   5.530506e-13   3.084628e-03   2.652898e-15   57034
  3.241511e-01   4.861356e-13   3.061146e-03   2.280272e-15   60648
  3.347969e-01   4.471846e-13   3.076329e-03   2.050597e-15   65044
  3.454223e-01   4.069298e-13   3.057760e-03   1.822053e-15   68720
  3.560505e-01   3.647748e-13   3.078281e-03   1.608859e-15   73538
  3.667175e-01   3.327139e-13   3.076939e-03   1.444691e-15   78080
  3.773260e-01   3.060405e-13   3.039859e-03   1.313878e-15   81572
  3.879192e-01   2.791213e-13   3.081238e-03   1.176496e-15   87248
  3.985882e-01   2.532380e-13   3.084591e-03   1.051953e-15   92266
  4.092322e-01   2.336973e-13   3.063169e-03   9.635772e-16   96696
  4.198039e-01   2.119403e-13   3.037602e-03   8.710084e-16   100904
  4.303789e-01   1.960543e-13   3.065517e-03   7.924017e-16   107036
  4.410480e-01   1.812713e-13   3.089487e-03   7.171446e-16   113362
  4.517307e-01   1.658203e-13   3.072092e-03   6.506731e-16   118176
  4.623378e-01   1.526254e-13   3.054661e-03   6.081755e-16   122944
  4.729644e-01   1.412103e-13   3.083007e-03   5.551983e-16   129902
  4.836049e-01   1.285604e-13   3.061727e-03   5.039558e-16   134944
