# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.496948
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.471089e-10   1.198114e-03   5.563107e-11   18
  1.686348e-02   2.931281e-10   2.897918e-03   2.801434e-11   152
  2.725284e-02   1.748034e-10   3.060867e-03   8.179539e-12   416
  3.742835e-02   9.542897e-11   2.912555e-03   3.580441e-12   770
  4.808679e-02   5.961549e-11   3.119650e-03   1.756819e-12   1364
  5.876109e-02   3.877782e-11   3.054550e-03   8.893853e-13   1976
  6.939824e-02   2.931470e-11   3.112555e-03   5.651899e-13   2792
  7.984642e-02   2.110840e-11   2.971805e-03   3.681530e-13   3578
  9.038229e-02   1.494896e-11   3.049521e-03   2.274933e-13   4724
  1.011318e-01   1.082805e-11   3.134595e-03   1.498692e-13   6032
  1.117485e-01   8.301977e-12   3.016599e-03   1.070008e-13   7072
  1.222702e-01   6.838792e-12   3.056387e-03   8.013706e-14   8634
  1.329722e-01   5.660305e-12   3.095256e-03   6.118516e-14   10336
  1.436677e-01   4.460755e-12   3.082009e-03   4.451475e-14   11940
  1.541872e-01   3.454342e-12   3.021465e-03   3.438973e-14   13490
  1.647185e-01   2.772052e-12   3.054444e-03   2.545087e-14   15656
  1.754149e-01   2.253872e-12   3.102608e-03   2.001028e-14   18008
  1.860920e-01   1.916009e-12   3.069464e-03   1.653166e-14   19964
  1.966957e-01   1.614678e-12   3.066093e-03   1.357063e-14   22354
  2.072851e-01   1.314769e-12   3.030819e-03   1.093059e-14   24648
  2.179134e-01   1.071114e-12   3.083109e-03   8.671444e-15   27592
  2.285517e-01   8.852105e-13   3.075318e-03   7.205942e-15   30152
  2.391687e-01   7.475022e-13   3.069056e-03   6.008553e-15   33046
  2.497808e-01   6.505941e-13   3.053846e-03   5.234015e-15   35992
  2.604233e-01   5.519942e-13   3.074764e-03   4.446070e-15   39304
  2.710722e-01   4.737946e-13   3.082145e-03   3.781311e-15   42608
  2.817050e-01   3.889105e-13   3.058267e-03   3.238883e-15   45758
  2.923349e-01   3.208435e-13   3.072286e-03   2.773949e-15   49536
