# cross spectrum of phi(z1) and phi(z2)
# redshift z=2.396942
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.660982e-10   1.198114e-03   5.991268e-11   18
  1.686348e-02   3.155727e-10   2.897918e-03   3.015596e-11   152
  2.725284e-02   1.884330e-10   3.060867e-03   8.810118e-12   416
  3.742835e-02   1.032696e-10   2.912555e-03   3.863816e-12   770
  4.808679e-02   6.491276e-11   3.119650e-03   1.902468e-12   1364
  5.876109e-02   4.258587e-11   3.054550e-03   9.677448e-13   1976
  6.939824e-02   3.250618e-11   3.112555e-03   6.187864e-13   2792
  7.984642e-02   2.368191e-11   2.971805e-03   4.048608e-13   3578
  9.038229e-02   1.708513e-11   3.049521e-03   2.526169e-13   4724
  1.011318e-01   1.261596e-11   3.134595e-03   1.668868e-13   6032
  1.117485e-01   9.879389e-12   3.016599e-03   1.203836e-13   7072
  1.222702e-01   8.301083e-12   3.056387e-03   9.109649e-14   8634
  1.329722e-01   7.058669e-12   3.095256e-03   7.042711e-14   10336
  1.436677e-01   5.700123e-12   3.082009e-03   5.148760e-14   11940
  1.541872e-01   4.571908e-12   3.021465e-03   4.031517e-14   13490
  1.647185e-01   3.779456e-12   3.054444e-03   2.989720e-14   15656
  1.754149e-01   3.198620e-12   3.102608e-03   2.400447e-14   18008
  1.860920e-01   2.826416e-12   3.069464e-03   2.004907e-14   19964
  1.966957e-01   2.464723e-12   3.066093e-03   1.653802e-14   22354
  2.072851e-01   2.103247e-12   3.030819e-03   1.346695e-14   24648
  2.179134e-01   1.810405e-12   3.083109e-03   1.089134e-14   27592
  2.285517e-01   1.573033e-12   3.075318e-03   9.005484e-15   30152
  2.391687e-01   1.392641e-12   3.069056e-03   7.667183e-15   33046
  2.497808e-01   1.268026e-12   3.053846e-03   6.743584e-15   35992
  2.604233e-01   1.138711e-12   3.074764e-03   5.768082e-15   39304
  2.710722e-01   1.032133e-12   3.082145e-03   4.987893e-15   42608
  2.817050e-01   9.066011e-13   3.058267e-03   4.281578e-15   45758
  2.923349e-01   8.101852e-13   3.072286e-03   3.692074e-15   49536
  3.029238e-01   7.354402e-13   3.039208e-03   3.243583e-15   52488
  3.135134e-01   6.780652e-13   3.084628e-03   2.862643e-15   57034
  3.241511e-01   6.056739e-13   3.061146e-03   2.465448e-15   60648
  3.347969e-01   5.603795e-13   3.076329e-03   2.216345e-15   65044
  3.454223e-01   5.169311e-13   3.057760e-03   1.967581e-15   68720
  3.560505e-01   4.695675e-13   3.078281e-03   1.733922e-15   73538
  3.667175e-01   4.319224e-13   3.076939e-03   1.550198e-15   78080
  3.773260e-01   4.018412e-13   3.039859e-03   1.409846e-15   81572
  3.879192e-01   3.723401e-13   3.081238e-03   1.262273e-15   87248
  3.985882e-01   3.435581e-13   3.084591e-03   1.137400e-15   92266
  4.092322e-01   3.200760e-13   3.063169e-03   1.036678e-15   96696
  4.198039e-01   2.973426e-13   3.037602e-03   9.437909e-16   100904
  4.303789e-01   2.763846e-13   3.065517e-03   8.560612e-16   107036
  4.410480e-01   2.590271e-13   3.089487e-03   7.733528e-16   113362
  4.517307e-01   2.413873e-13   3.072092e-03   7.075352e-16   118176
  4.623378e-01   2.273417e-13   3.054661e-03   6.556130e-16   122944
  4.729644e-01   2.132164e-13   3.083007e-03   5.940868e-16   129902
  4.836049e-01   1.981605e-13   3.061727e-03   5.414288e-16   134944
  4.942158e-01   1.881480e-13   3.064979e-03   5.050678e-16   140952
  5.048213e-01   1.756268e-13   3.064662e-03   4.643428e-16   147072
  5.154342e-01   1.660128e-13   3.060800e-03   4.256400e-16   153382
  5.260893e-01   1.574441e-13   3.082622e-03   3.926693e-16   160952
  5.367508e-01   1.484077e-13   3.070294e-03   3.648108e-16   166640
  5.473579e-01   1.404423e-13   3.057153e-03   3.428662e-16   172448
  5.579787e-01   1.332041e-13   3.077577e-03   3.146799e-16   180594
  5.686178e-01   1.261132e-13   3.060710e-03   2.926185e-16   186556
  5.792219e-01   1.197466e-13   3.063394e-03   2.755042e-16   193528
  5.898242e-01   1.144015e-13   3.060684e-03   2.575958e-16   200626
  6.004609e-01   1.082714e-13   3.076604e-03   2.394374e-16   209256
  6.111150e-01   1.036370e-13   3.069663e-03   2.245921e-16   216020
  6.217510e-01   9.872081e-14   3.075746e-03   2.101014e-16   223768
  6.323610e-01   9.347387e-14   3.055783e-03   1.964749e-16   230234
  6.429887e-01   8.950285e-14   3.074922e-03   1.848479e-16   239800
  6.536248e-01   8.530554e-14   3.063054e-03   1.731753e-16   246568
  6.642393e-01   8.192710e-14   3.068328e-03   1.633921e-16   254828
  6.748534e-01   7.821223e-14   3.064424e-03   1.534674e-16   263074
  6.854951e-01   7.468280e-14   3.071509e-03   1.446238e-16   272312
  6.961385e-01   7.152201e-14   3.070197e-03   1.365653e-16   280376
  7.067732e-01   6.874301e-14   3.071500e-03   1.297446e-16   288884
  7.174012e-01   6.557411e-14   3.068501e-03   1.214537e-16   297602
  7.280177e-01   6.341381e-14   3.057614e-03   1.160198e-16   305520
  7.386402e-01   6.074581e-14   3.075198e-03   1.092160e-16   315976
  7.492461e-01   5.809629e-14   3.052723e-03   1.035217e-16   322778
  7.598720e-01   5.640889e-14   3.080021e-03   9.873113e-17   335372
  7.705286e-01   5.375935e-14   3.068318e-03   9.304664e-17   343464
  7.811635e-01   5.173657e-14   3.070705e-03   8.778359e-17   352912
  7.917934e-01   4.997622e-14   3.070498e-03   8.407708e-17   362666
  8.024224e-01   4.833891e-14   3.063690e-03   8.025510e-17   371884
