# power spectrum of delta_N
# redshift z=1.093858
# k              Pk             sigma(k)       sigma(Pk)      count
  9.299472e-01   3.247805e+00   3.069632e-03   4.600459e-03   500328
  9.405628e-01   3.319842e+00   3.059261e-03   4.650816e-03   509852
  9.511854e-01   3.374565e+00   3.074339e-03   4.660740e-03   524234
  9.618189e-01   3.439108e+00   3.061952e-03   4.700291e-03   534104
  9.724448e-01   3.505632e+00   3.070528e-03   4.751251e-03   547048
  9.830800e-01   3.572955e+00   3.073862e-03   4.772711e-03   559328
  9.937180e-01   3.645390e+00   3.070866e-03   4.817379e-03   571326
  1.004339e+00   3.699250e+00   3.060367e-03   4.855538e-03   581920
  1.014951e+00   3.774346e+00   3.064588e-03   4.893991e-03   594832
  1.025571e+00   3.832067e+00   3.068054e-03   4.909653e-03   608048
  1.036206e+00   3.924722e+00   3.070252e-03   4.986226e-03   621526
  1.046839e+00   3.990091e+00   3.066112e-03   5.022430e-03   633240
  1.057456e+00   4.050947e+00   3.064953e-03   5.034556e-03   645472
  1.068086e+00   4.111483e+00   3.075342e-03   5.060591e-03   660906
  1.078726e+00   4.185868e+00   3.067576e-03   5.099215e-03   672856
  1.089356e+00   4.261025e+00   3.067094e-03   5.135229e-03   685980
  1.099980e+00   4.341956e+00   3.067978e-03   5.186023e-03   699256
  1.110619e+00   4.404111e+00   3.074976e-03   5.209590e-03   714730
  1.121246e+00   4.483087e+00   3.059348e-03   5.285593e-03   725152
  1.131863e+00   4.559796e+00   3.067634e-03   5.296744e-03   740420
  1.142485e+00   4.626513e+00   3.069089e-03   5.342695e-03   754312
  1.153114e+00   4.697773e+00   3.069897e-03   5.364921e-03   769114
  1.163749e+00   4.777022e+00   3.069209e-03   5.400805e-03   783488
  1.174365e+00   4.850058e+00   3.058900e-03   5.443150e-03   794968
  1.184981e+00   4.928832e+00   3.070107e-03   5.469549e-03   812366
  1.195609e+00   5.008967e+00   3.065134e-03   5.511187e-03   825976
  1.206250e+00   5.074814e+00   3.075220e-03   5.520917e-03   843352
  1.216898e+00   5.145011e+00   3.073224e-03   5.554065e-03   857280
  1.227524e+00   5.243462e+00   3.063189e-03   5.618577e-03   869542
  1.238147e+00   5.323605e+00   3.070752e-03   5.655894e-03   887128
  1.248772e+00   5.405590e+00   3.063166e-03   5.708036e-03   900032
  1.259388e+00   5.466395e+00   3.067377e-03   5.706525e-03   916560
  1.270005e+00   5.540432e+00   3.061783e-03   5.743378e-03   930922
  1.280635e+00   5.632069e+00   3.071795e-03   5.784872e-03   949844
  1.291287e+00   5.723147e+00   3.076939e-03   5.800741e-03   966736
  1.301925e+00   5.790609e+00   3.065819e-03   5.850266e-03   978776
  1.312537e+00   5.876304e+00   3.064137e-03   5.896925e-03   994522
  1.323161e+00   5.950612e+00   3.068907e-03   5.901859e-03   1012420
  1.333794e+00   6.034023e+00   3.071598e-03   5.956138e-03   1029408
  1.344410e+00   6.115136e+00   3.058405e-03   5.999859e-03   1041658
  1.355032e+00   6.196014e+00   3.072381e-03   5.994691e-03   1063520
  1.365659e+00   6.288709e+00   3.060689e-03   6.052460e-03   1075808
  1.376294e+00   6.366193e+00   3.080019e-03   6.070679e-03   1098956
  1.386928e+00   6.456557e+00   3.061670e-03   6.140137e-03   1109810
  1.397545e+00   6.541227e+00   3.065288e-03   6.159420e-03   1128608
  1.408178e+00   6.624314e+00   3.073589e-03   6.172712e-03   1148264
  1.418813e+00   6.698392e+00   3.067917e-03   6.218925e-03   1163252
  1.429436e+00   6.786795e+00   3.067070e-03   6.249590e-03   1181042
  1.440060e+00   6.875196e+00   3.064325e-03   6.278948e-03   1197848
  1.450692e+00   6.944026e+00   3.073737e-03   6.290301e-03   1218848
  1.461323e+00   7.043824e+00   3.064859e-03   6.343575e-03   1232916
  1.471945e+00   7.135059e+00   3.068844e-03   6.381153e-03   1253002
  1.482566e+00   7.218446e+00   3.062284e-03   6.415677e-03   1268576
  1.493191e+00   7.293160e+00   3.071552e-03   6.419040e-03   1290128
  1.503822e+00   7.378557e+00   3.068342e-03   6.456807e-03   1307402
  1.514455e+00   7.476050e+00   3.069122e-03   6.495465e-03   1327028
  1.525083e+00   7.543566e+00   3.064970e-03   6.498076e-03   1343648
  1.535711e+00   7.634052e+00   3.070217e-03   6.536285e-03   1364096
  1.546341e+00   7.722421e+00   3.068950e-03   6.580787e-03   1382730
  1.556974e+00   7.803046e+00   3.068757e-03   6.574838e-03   1402164
  1.567604e+00   7.888707e+00   3.068159e-03   6.624556e-03   1420464
  1.578221e+00   7.969846e+00   3.063798e-03   6.660610e-03   1437368
  1.588847e+00   8.063503e+00   3.072142e-03   6.665813e-03   1461530
  1.599480e+00   8.145988e+00   3.065069e-03   6.694861e-03   1478264
  1.610108e+00   8.241770e+00   3.068902e-03   6.727749e-03   1499356
  1.620732e+00   8.329953e+00   3.065238e-03   6.760511e-03   1517016
  1.631360e+00   8.407829e+00   3.070849e-03   6.778252e-03   1540090
  1.641988e+00   8.462350e+00   3.065366e-03   6.781144e-03   1557360
  1.652609e+00   8.613040e+00   3.066926e-03   6.857859e-03   1577780
  1.663242e+00   8.669936e+00   3.075107e-03   6.844931e-03   1602578
  1.673875e+00   8.775417e+00   3.063542e-03   6.899204e-03   1617672
  1.684498e+00   8.871507e+00   3.069033e-03   6.913896e-03   1641016
  1.695122e+00   8.945088e+00   3.065080e-03   6.957775e-03   1659416
  1.705746e+00   9.018267e+00   3.068431e-03   6.929385e-03   1682670
  1.716382e+00   9.110183e+00   3.070690e-03   6.986907e-03   1705256
  1.727024e+00   9.188683e+00   3.071890e-03   7.001535e-03   1726312
  1.737645e+00   9.298182e+00   3.062639e-03   7.053806e-03   1741880
  1.748261e+00   9.370232e+00   3.067156e-03   7.054004e-03   1766454
  1.758897e+00   9.458874e+00   3.073105e-03   7.060514e-03   1791784
  1.769528e+00   9.563803e+00   3.063894e-03   7.118975e-03   1807712
  1.780139e+00   9.662651e+00   3.062775e-03   7.156520e-03   1829002
  1.790759e+00   9.727649e+00   3.067263e-03   7.154721e-03   1854216
  1.801400e+00   9.830859e+00   3.074631e-03   7.166568e-03   1880156
  1.812037e+00   9.902737e+00   3.068349e-03   7.188026e-03   1897568
  1.822663e+00   9.994170e+00   3.068475e-03   7.210664e-03   1920458
  1.833288e+00   1.006809e+01   3.065997e-03   7.227231e-03   1942208
  1.843915e+00   1.015671e+01   3.067813e-03   7.246443e-03   1965612
  1.854544e+00   1.024599e+01   3.069639e-03   7.269751e-03   1989000
  1.865168e+00   1.033349e+01   3.064465e-03   7.286609e-03   2009114
  1.875791e+00   1.042742e+01   3.067400e-03   7.303532e-03   2034464
  1.886424e+00   1.051020e+01   3.070174e-03   7.325837e-03   2058476
  1.897052e+00   1.060364e+01   3.068039e-03   7.350670e-03   2079648
  1.907673e+00   1.067669e+01   3.065891e-03   7.364007e-03   2102578
  1.918306e+00   1.077132e+01   3.070742e-03   7.380503e-03   2129928
  1.928942e+00   1.086947e+01   3.069733e-03   7.407844e-03   2152096
  1.939563e+00   1.094371e+01   3.062858e-03   7.429375e-03   2171142
  1.950185e+00   1.102856e+01   3.069150e-03   7.442354e-03   2200248
  1.960824e+00   1.110764e+01   3.071017e-03   7.439106e-03   2225216
  1.971460e+00   1.120896e+01   3.070942e-03   7.472011e-03   2248448
  1.982084e+00   1.127640e+01   3.064272e-03   7.494494e-03   2267942
  1.992710e+00   1.138380e+01   3.071051e-03   7.502369e-03   2298072
  2.003337e+00   1.144023e+01   3.064068e-03   7.526412e-03   2317272
  2.013961e+00   1.152585e+01   3.069747e-03   7.533393e-03   2345808
  2.024580e+00   1.161160e+01   3.062469e-03   7.551990e-03   2365650
  2.035206e+00   1.169921e+01   3.069930e-03   7.566584e-03   2396940
  2.045842e+00   1.180648e+01   3.069936e-03   7.588276e-03   2421272
  2.056473e+00   1.189579e+01   3.068399e-03   7.607623e-03   2444576
  2.067102e+00   1.194282e+01   3.069748e-03   7.597679e-03   2471490
  2.077728e+00   1.202270e+01   3.064854e-03   7.621195e-03   2493180
  2.088349e+00   1.213713e+01   3.068019e-03   7.647549e-03   2520952
  2.098972e+00   1.217245e+01   3.065319e-03   7.627364e-03   2544946
  2.109598e+00   1.226780e+01   3.068311e-03   7.646276e-03   2573856
  2.120230e+00   1.237036e+01   3.069026e-03   7.679850e-03   2600016
  2.130862e+00   1.244852e+01   3.069102e-03   7.694612e-03   2625484
  2.141490e+00   1.252043e+01   3.068080e-03   7.691289e-03   2651122
  2.152130e+00   1.261466e+01   3.074348e-03   7.691593e-03   2683488
  2.162754e+00   1.269967e+01   3.059466e-03   7.731246e-03   2696352
  2.173371e+00   1.276493e+01   3.071171e-03   7.733054e-03   2733020
  2.184002e+00   1.281875e+01   3.067530e-03   7.708651e-03   2757378
  2.194631e+00   1.294716e+01   3.067942e-03   7.756166e-03   2784864
  2.205259e+00   1.300833e+01   3.067811e-03   7.756491e-03   2811168
  2.215874e+00   1.306850e+01   3.061061e-03   7.781026e-03   2832274
  2.226505e+00   1.317241e+01   3.075611e-03   7.774127e-03   2873636
  2.237142e+00   1.324966e+01   3.064877e-03   7.801427e-03   2890496
  2.247766e+00   1.329645e+01   3.069851e-03   7.779351e-03   2921800
  2.258399e+00   1.338728e+01   3.071101e-03   7.782166e-03   2951298
  2.269032e+00   1.346298e+01   3.066274e-03   7.815488e-03   2975476
  2.279663e+00   1.355812e+01   3.071375e-03   7.811540e-03   3007728
  2.290285e+00   1.362375e+01   3.061886e-03   7.833860e-03   3025776
  2.300910e+00   1.373206e+01   3.072955e-03   7.844141e-03   3065762
  2.311540e+00   1.378332e+01   3.063208e-03   7.850577e-03   3084856
  2.322162e+00   1.385269e+01   3.068985e-03   7.849290e-03   3118044
  2.332782e+00   1.390765e+01   3.064319e-03   7.836078e-03   3141352
  2.343410e+00   1.400252e+01   3.072036e-03   7.852739e-03   3179274
  2.354046e+00   1.408922e+01   3.067682e-03   7.870079e-03   3204120
  2.364668e+00   1.413699e+01   3.063610e-03   7.870957e-03   3227900
  2.375288e+00   1.422603e+01   3.068722e-03   7.872766e-03   3262394
  2.385925e+00   1.428758e+01   3.071814e-03   7.871311e-03   3295680
  2.396559e+00   1.435951e+01   3.067166e-03   7.885103e-03   3319560
  2.407184e+00   1.441355e+01   3.068070e-03   7.881999e-03   3348972
  2.417810e+00   1.449692e+01   3.068540e-03   7.883998e-03   3379722
  2.428441e+00   1.457009e+01   3.068348e-03   7.884425e-03   3410720
  2.439075e+00   1.464264e+01   3.069517e-03   7.884551e-03   3441504
  2.449697e+00   1.472030e+01   3.063301e-03   7.913586e-03   3463624
  2.460317e+00   1.477457e+01   3.068043e-03   7.899532e-03   3499790
  2.470951e+00   1.485042e+01   3.070702e-03   7.906666e-03   3533560
  2.481588e+00   1.490121e+01   3.069830e-03   7.897870e-03   3561920
  2.492209e+00   1.496381e+01   3.064208e-03   7.897500e-03   3585208
  2.502830e+00   1.503788e+01   3.069185e-03   7.896963e-03   3622518
  2.513468e+00   1.512230e+01   3.072344e-03   7.893389e-03   3657584
  2.524094e+00   1.518171e+01   3.062507e-03   7.915424e-03   3676440
  2.534707e+00   1.525044e+01   3.065232e-03   7.924965e-03   3711282
  2.545334e+00   1.530702e+01   3.068763e-03   7.912227e-03   3747696
  2.555965e+00   1.537943e+01   3.067225e-03   7.916676e-03   3776188
  2.566601e+00   1.544808e+01   3.074483e-03   7.914698e-03   3815304
  2.577232e+00   1.548899e+01   3.064660e-03   7.904000e-03   3835370
  2.587856e+00   1.557413e+01   3.068926e-03   7.922124e-03   3873424
  2.598487e+00   1.561787e+01   3.067978e-03   7.903353e-03   3903420
  2.609117e+00   1.568067e+01   3.070036e-03   7.898761e-03   3937624
  2.619745e+00   1.573203e+01   3.066011e-03   7.896905e-03   3965658
  2.630375e+00   1.581408e+01   3.069802e-03   7.895828e-03   4002984
  2.641001e+00   1.585861e+01   3.065136e-03   7.903664e-03   4027928
  2.651616e+00   1.592362e+01   3.064941e-03   7.897644e-03   4059844
  2.662241e+00   1.597808e+01   3.069945e-03   7.887943e-03   4100338
  2.672876e+00   1.604883e+01   3.069128e-03   7.896732e-03   4132264
  2.683506e+00   1.609129e+01   3.068474e-03   7.889535e-03   4163216
  2.694131e+00   1.615403e+01   3.066146e-03   7.887365e-03   4193350
  2.704761e+00   1.622908e+01   3.071068e-03   7.872681e-03   4234456
  2.715390e+00   1.626666e+01   3.064079e-03   7.882001e-03   4257264
  2.726012e+00   1.632918e+01   3.069774e-03   7.876140e-03   4297352
  2.736640e+00   1.638813e+01   3.067495e-03   7.866570e-03   4328642
  2.747272e+00   1.641877e+01   3.070663e-03   7.855924e-03   4367948
  2.757895e+00   1.647502e+01   3.061799e-03   7.867893e-03   4388384
  2.768519e+00   1.653281e+01   3.072247e-03   7.842409e-03   4436648
  2.779154e+00   1.659073e+01   3.067997e-03   7.854997e-03   4465658
  2.789787e+00   1.663833e+01   3.069677e-03   7.845111e-03   4502948
  2.800413e+00   1.669660e+01   3.064787e-03   7.849625e-03   4528880
  2.811033e+00   1.674292e+01   3.067181e-03   7.840632e-03   4566290
