# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.996075
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.594452e-10   1.198114e-03   5.841877e-11   18
  1.686348e-02   3.076259e-10   2.897918e-03   2.940158e-11   152
  2.725284e-02   1.834760e-10   3.060867e-03   8.581841e-12   416
  3.742835e-02   1.003336e-10   2.912555e-03   3.758568e-12   770
  4.808679e-02   6.289058e-11   3.119650e-03   1.848316e-12   1364
  5.876109e-02   4.103135e-11   3.054550e-03   9.368837e-13   1976
  6.939824e-02   3.117289e-11   3.112555e-03   5.978665e-13   2792
  7.984642e-02   2.254334e-11   2.971805e-03   3.904672e-13   3578
  9.038229e-02   1.610795e-11   3.049521e-03   2.422444e-13   4724
  1.011318e-01   1.174830e-11   3.134595e-03   1.594409e-13   6032
  1.117485e-01   9.097746e-12   3.016599e-03   1.141616e-13   7072
  1.222702e-01   7.546893e-12   3.056387e-03   8.587971e-14   8634
  1.329722e-01   6.325716e-12   3.095256e-03   6.588022e-14   10336
  1.436677e-01   5.030690e-12   3.082009e-03   4.798531e-14   11940
  1.541872e-01   3.947439e-12   3.021465e-03   3.718520e-14   13490
  1.647185e-01   3.199905e-12   3.054444e-03   2.744226e-14   15656
  1.754149e-01   2.647250e-12   3.102608e-03   2.178552e-14   18008
  1.860920e-01   2.289333e-12   3.069464e-03   1.806658e-14   19964
  1.966957e-01   1.957389e-12   3.066093e-03   1.479498e-14   22354
  2.072851e-01   1.625582e-12   3.030819e-03   1.196555e-14   24648
  2.179134e-01   1.353838e-12   3.083109e-03   9.529588e-15   27592
  2.285517e-01   1.139689e-12   3.075318e-03   7.828461e-15   30152
  2.391687e-01   9.812392e-13   3.069056e-03   6.572741e-15   33046
  2.497808e-01   8.710064e-13   3.053846e-03   5.742595e-15   35992
  2.604233e-01   7.565650e-13   3.074764e-03   4.860580e-15   39304
  2.710722e-01   6.650550e-13   3.082145e-03   4.154028e-15   42608
  2.817050e-01   5.594317e-13   3.058267e-03   3.538117e-15   45758
  2.923349e-01   4.787420e-13   3.072286e-03   3.014773e-15   49536
  3.029238e-01   4.206667e-13   3.039208e-03   2.649352e-15   52488
  3.135134e-01   3.703156e-13   3.084628e-03   2.306564e-15   57034
  3.241511e-01   3.160939e-13   3.061146e-03   1.971565e-15   60648
  3.347969e-01   2.821889e-13   3.076329e-03   1.760843e-15   65044
  3.454223e-01   2.504730e-13   3.057760e-03   1.547954e-15   68720
  3.560505e-01   2.153289e-13   3.078281e-03   1.353369e-15   73538
  3.667175e-01   1.905695e-13   3.076939e-03   1.202896e-15   78080
  3.773260e-01   1.699895e-13   3.039859e-03   1.089777e-15   81572
  3.879192e-01   1.476341e-13   3.081238e-03   9.678174e-16   87248
  3.985882e-01   1.293213e-13   3.084591e-03   8.667447e-16   92266
  4.092322e-01   1.159954e-13   3.063169e-03   7.839984e-16   96696
  4.198039e-01   1.011886e-13   3.037602e-03   7.069150e-16   100904
  4.303789e-01   8.940433e-14   3.065517e-03   6.399669e-16   107036
  4.410480e-01   7.961304e-14   3.089487e-03   5.771782e-16   113362
  4.517307e-01   6.987245e-14   3.072092e-03   5.259009e-16   118176
  4.623378e-01   6.119269e-14   3.054661e-03   4.858129e-16   122944
  4.729644e-01   5.536414e-14   3.083007e-03   4.410413e-16   129902
  4.836049e-01   4.689094e-14   3.061727e-03   4.007445e-16   134944
  4.942158e-01   4.252665e-14   3.064979e-03   3.711219e-16   140952
  5.048213e-01   3.646022e-14   3.064662e-03   3.438069e-16   147072
  5.154342e-01   3.304183e-14   3.060800e-03   3.143028e-16   153382
  5.260893e-01   2.874280e-14   3.082622e-03   2.885208e-16   160952
  5.367508e-01   2.573572e-14   3.070294e-03   2.673321e-16   166640
  5.473579e-01   2.249967e-14   3.057153e-03   2.488294e-16   172448
  5.579787e-01   1.979886e-14   3.077577e-03   2.297161e-16   180594
  5.686178e-01   1.731981e-14   3.060710e-03   2.165525e-16   186556
  5.792219e-01   1.574349e-14   3.063394e-03   1.999815e-16   193528
  5.898242e-01   1.347570e-14   3.060684e-03   1.876167e-16   200626
  6.004609e-01   1.203051e-14   3.076604e-03   1.735132e-16   209256
  6.111150e-01   1.060021e-14   3.069663e-03   1.627822e-16   216020
  6.217510e-01   9.074603e-15   3.075746e-03   1.530500e-16   223768
  6.323610e-01   7.704296e-15   3.055783e-03   1.439780e-16   230234
  6.429887e-01   6.774986e-15   3.074922e-03   1.349283e-16   239800
  6.536248e-01   5.970980e-15   3.063054e-03   1.262844e-16   246568
  6.642393e-01   5.243224e-15   3.068328e-03   1.194097e-16   254828
  6.748534e-01   4.822500e-15   3.064424e-03   1.116451e-16   263074
  6.854951e-01   4.077209e-15   3.071509e-03   1.057246e-16   272312
  6.961385e-01   3.588223e-15   3.070197e-03   9.954434e-17   280376
  7.067732e-01   2.855182e-15   3.071500e-03   9.437633e-17   288884
  7.174012e-01   2.417668e-15   3.068501e-03   8.855239e-17   297602
  7.280177e-01   2.218852e-15   3.057614e-03   8.436389e-17   305520
  7.386402e-01   1.826215e-15   3.075198e-03   7.922197e-17   315976
  7.492461e-01   1.596577e-15   3.052723e-03   7.515428e-17   322778
  7.598720e-01   1.192333e-15   3.080021e-03   7.173695e-17   335372
  7.705286e-01   1.055321e-15   3.068318e-03   6.777460e-17   343464
  7.811635e-01   8.721227e-16   3.070705e-03   6.433782e-17   352912
  7.917934e-01   6.395291e-16   3.070498e-03   6.112616e-17   362666
  8.024224e-01   4.486556e-16   3.063690e-03   5.821187e-17   371884
  8.130465e-01   3.154071e-16   3.069929e-03   5.535006e-17   382280
