# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.197496
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.527352e-10   1.198114e-03   5.689816e-11   18
  1.686348e-02   2.992973e-10   2.897918e-03   2.858913e-11   152
  2.725284e-02   1.788478e-10   3.060867e-03   8.364026e-12   416
  3.742835e-02   9.795493e-11   2.912555e-03   3.670502e-12   770
  4.808679e-02   6.139820e-11   3.119650e-03   1.801438e-12   1364
  5.876109e-02   4.039712e-11   3.054550e-03   9.191784e-13   1976
  6.939824e-02   3.073481e-11   3.112555e-03   5.844706e-13   2792
  7.984642e-02   2.245800e-11   2.971805e-03   3.810639e-13   3578
  9.038229e-02   1.615422e-11   3.049521e-03   2.380727e-13   4724
  1.011318e-01   1.200945e-11   3.134595e-03   1.583274e-13   6032
  1.117485e-01   9.374300e-12   3.016599e-03   1.149694e-13   7072
  1.222702e-01   7.926646e-12   3.056387e-03   8.703873e-14   8634
  1.329722e-01   6.719154e-12   3.095256e-03   6.739209e-14   10336
  1.436677e-01   5.462330e-12   3.082009e-03   4.937393e-14   11940
  1.541872e-01   4.420328e-12   3.021465e-03   3.899853e-14   13490
  1.647185e-01   3.700441e-12   3.054444e-03   2.929894e-14   15656
  1.754149e-01   3.133095e-12   3.102608e-03   2.336846e-14   18008
  1.860920e-01   2.767720e-12   3.069464e-03   1.959184e-14   19964
  1.966957e-01   2.419637e-12   3.066093e-03   1.628426e-14   22354
  2.072851e-01   2.070892e-12   3.030819e-03   1.319880e-14   24648
  2.179134e-01   1.800523e-12   3.083109e-03   1.075979e-14   27592
  2.285517e-01   1.589930e-12   3.075318e-03   9.176977e-15   30152
  2.391687e-01   1.410378e-12   3.069056e-03   7.830022e-15   33046
  2.497808e-01   1.282845e-12   3.053846e-03   6.786196e-15   35992
  2.604233e-01   1.160498e-12   3.074764e-03   5.899023e-15   39304
  2.710722e-01   1.052894e-12   3.082145e-03   5.090791e-15   42608
  2.817050e-01   9.419114e-13   3.058267e-03   4.418548e-15   45758
  2.923349e-01   8.451347e-13   3.072286e-03   3.845735e-15   49536
  3.029238e-01   7.732675e-13   3.039208e-03   3.373815e-15   52488
  3.135134e-01   7.191898e-13   3.084628e-03   3.018764e-15   57034
  3.241511e-01   6.440278e-13   3.061146e-03   2.612375e-15   60648
  3.347969e-01   6.013638e-13   3.076329e-03   2.362972e-15   65044
  3.454223e-01   5.568048e-13   3.057760e-03   2.111717e-15   68720
  3.560505e-01   5.095656e-13   3.078281e-03   1.877431e-15   73538
  3.667175e-01   4.723716e-13   3.076939e-03   1.693766e-15   78080
  3.773260e-01   4.422635e-13   3.039859e-03   1.553057e-15   81572
  3.879192e-01   4.132471e-13   3.081238e-03   1.403003e-15   87248
  3.985882e-01   3.835378e-13   3.084591e-03   1.261976e-15   92266
  4.092322e-01   3.600004e-13   3.063169e-03   1.166802e-15   96696
  4.198039e-01   3.346637e-13   3.037602e-03   1.061472e-15   100904
  4.303789e-01   3.159330e-13   3.065517e-03   9.701670e-16   107036
  4.410480e-01   2.980566e-13   3.089487e-03   8.879338e-16   113362
  4.517307e-01   2.792994e-13   3.072092e-03   8.079662e-16   118176
  4.623378e-01   2.641164e-13   3.054661e-03   7.605238e-16   122944
  4.729644e-01   2.497151e-13   3.083007e-03   6.987001e-16   129902
  4.836049e-01   2.343617e-13   3.061727e-03   6.382940e-16   134944
  4.942158e-01   2.240286e-13   3.064979e-03   5.993633e-16   140952
  5.048213e-01   2.107184e-13   3.064662e-03   5.524657e-16   147072
  5.154342e-01   2.004465e-13   3.060800e-03   5.116036e-16   153382
  5.260893e-01   1.912264e-13   3.082622e-03   4.737458e-16   160952
  5.367508e-01   1.804534e-13   3.070294e-03   4.436220e-16   166640
  5.473579e-01   1.736475e-13   3.057153e-03   4.194719e-16   172448
  5.579787e-01   1.644679e-13   3.077577e-03   3.890914e-16   180594
  5.686178e-01   1.573180e-13   3.060710e-03   3.637009e-16   186556
  5.792219e-01   1.500697e-13   3.063394e-03   3.404907e-16   193528
  5.898242e-01   1.441338e-13   3.060684e-03   3.218172e-16   200626
  6.004609e-01   1.374251e-13   3.076604e-03   3.019517e-16   209256
  6.111150e-01   1.319707e-13   3.069663e-03   2.848324e-16   216020
  6.217510e-01   1.271295e-13   3.075746e-03   2.691406e-16   223768
  6.323610e-01   1.211071e-13   3.055783e-03   2.540044e-16   230234
  6.429887e-01   1.167859e-13   3.074922e-03   2.386463e-16   239800
  6.536248e-01   1.122811e-13   3.063054e-03   2.267417e-16   246568
  6.642393e-01   1.083815e-13   3.068328e-03   2.150919e-16   254828
  6.748534e-01   1.034790e-13   3.064424e-03   2.015327e-16   263074
  6.854951e-01   9.973302e-14   3.071509e-03   1.915244e-16   272312
  6.961385e-01   9.625203e-14   3.070197e-03   1.819742e-16   280376
  7.067732e-01   9.300709e-14   3.071500e-03   1.737369e-16   288884
  7.174012e-01   8.948773e-14   3.068501e-03   1.642196e-16   297602
  7.280177e-01   8.697528e-14   3.057614e-03   1.576165e-16   305520
  7.386402e-01   8.355159e-14   3.075198e-03   1.485084e-16   315976
  7.492461e-01   8.073691e-14   3.052723e-03   1.417532e-16   322778
  7.598720e-01   7.852210e-14   3.080021e-03   1.357274e-16   335372
  7.705286e-01   7.552932e-14   3.068318e-03   1.292812e-16   343464
  7.811635e-01   7.314349e-14   3.070705e-03   1.237644e-16   352912
  7.917934e-01   7.076580e-14   3.070498e-03   1.174360e-16   362666
  8.024224e-01   6.878168e-14   3.063690e-03   1.134721e-16   371884
  8.130465e-01   6.669962e-14   3.069929e-03   1.077774e-16   382280
  8.236583e-01   6.468940e-14   3.060755e-03   1.036647e-16   390888
  8.342648e-01   6.265749e-14   3.067168e-03   9.929183e-17   402234
  8.448912e-01   6.125115e-14   3.064832e-03   9.558181e-17   412576
  8.555263e-01   5.894725e-14   3.071788e-03   9.082356e-17   423732
  8.661590e-01   5.736839e-14   3.068142e-03   8.733081e-17   433624
  8.767950e-01   5.581199e-14   3.072203e-03   8.379945e-17   445154
  8.874347e-01   5.442046e-14   3.069139e-03   8.108112e-17   455584
  8.980596e-01   5.273997e-14   3.064716e-03   7.751502e-17   465588
  9.086714e-01   5.129238e-14   3.065163e-03   7.460021e-17   476762
  9.193048e-01   4.988452e-14   3.073106e-03   7.157883e-17   489552
  9.299472e-01   4.872557e-14   3.069632e-03   6.925680e-17   500328
  9.405628e-01   4.755329e-14   3.059261e-03   6.687075e-17   509852
  9.511854e-01   4.616583e-14   3.074339e-03   6.402516e-17   524234
  9.618189e-01   4.496820e-14   3.061952e-03   6.172388e-17   534104
  9.724448e-01   4.385779e-14   3.070528e-03   5.963669e-17   547048
  9.830800e-01   4.274573e-14   3.073862e-03   5.729446e-17   559328
  9.937180e-01   4.176531e-14   3.070866e-03   5.541925e-17   571326
  1.004339e+00   4.063122e-14   3.060367e-03   5.348942e-17   581920
  1.014951e+00   3.970135e-14   3.064588e-03   5.168491e-17   594832
  1.025571e+00   3.867567e-14   3.068054e-03   4.981025e-17   608048
  1.036206e+00   3.793486e-14   3.070252e-03   4.836591e-17   621526
  1.046839e+00   3.700557e-14   3.066112e-03   4.686075e-17   633240
  1.057456e+00   3.607495e-14   3.064953e-03   4.505142e-17   645472
  1.068086e+00   3.518401e-14   3.075342e-03   4.355646e-17   660906
  1.078726e+00   3.442305e-14   3.067576e-03   4.216824e-17   672856
  1.089356e+00   3.366542e-14   3.067094e-03   4.075120e-17   685980
  1.099980e+00   3.295593e-14   3.067978e-03   3.956360e-17   699256
  1.110619e+00   3.220629e-14   3.074976e-03   3.826925e-17   714730
  1.121246e+00   3.151943e-14   3.059348e-03   3.731787e-17   725152
  1.131863e+00   3.084712e-14   3.067634e-03   3.607547e-17   740420
  1.142485e+00   3.010324e-14   3.069089e-03   3.494293e-17   754312
  1.153114e+00   2.945178e-14   3.069897e-03   3.384774e-17   769114
  1.163749e+00   2.890014e-14   3.069209e-03   3.291582e-17   783488
  1.174365e+00   2.825208e-14   3.058900e-03   3.189903e-17   794968
  1.184981e+00   2.769463e-14   3.070107e-03   3.092038e-17   812366
  1.195609e+00   2.717055e-14   3.065134e-03   3.009930e-17   825976
  1.206250e+00   2.654765e-14   3.075220e-03   2.909685e-17   843352
  1.216898e+00   2.597809e-14   3.073224e-03   2.823918e-17   857280
  1.227524e+00   2.556448e-14   3.063189e-03   2.755478e-17   869542
  1.238147e+00   2.506584e-14   3.070752e-03   2.680839e-17   887128
  1.248772e+00   2.456801e-14   3.063166e-03   2.609173e-17   900032
  1.259388e+00   2.403135e-14   3.067377e-03   2.525931e-17   916560
  1.270005e+00   2.352297e-14   3.061783e-03   2.462103e-17   930922
  1.280635e+00   2.312263e-14   3.071795e-03   2.389959e-17   949844
  1.291287e+00   2.272767e-14   3.076939e-03   2.318668e-17   966736
  1.301925e+00   2.225888e-14   3.065819e-03   2.266745e-17   978776
  1.312537e+00   2.185134e-14   3.064137e-03   2.207691e-17   994522
  1.323161e+00   2.142432e-14   3.068907e-03   2.142124e-17   1012420
  1.333794e+00   2.099589e-14   3.071598e-03   2.086007e-17   1029408
  1.344410e+00   2.063438e-14   3.058405e-03   2.042322e-17   1041658
  1.355032e+00   2.026750e-14   3.072381e-03   1.977530e-17   1063520
  1.365659e+00   1.992280e-14   3.060689e-03   1.933311e-17   1075808
  1.376294e+00   1.954493e-14   3.080019e-03   1.877797e-17   1098956
  1.386928e+00   1.922033e-14   3.061670e-03   1.843228e-17   1109810
  1.397545e+00   1.889222e-14   3.065288e-03   1.794077e-17   1128608
  1.408178e+00   1.855393e-14   3.073589e-03   1.741723e-17   1148264
  1.418813e+00   1.820395e-14   3.067917e-03   1.704658e-17   1163252
  1.429436e+00   1.787175e-14   3.067070e-03   1.661784e-17   1181042
  1.440060e+00   1.760089e-14   3.064325e-03   1.620882e-17   1197848
  1.450692e+00   1.723717e-14   3.073737e-03   1.574015e-17   1218848
  1.461323e+00   1.698732e-14   3.064859e-03   1.544291e-17   1232916
  1.471945e+00   1.668960e-14   3.068844e-03   1.507094e-17   1253002
  1.482566e+00   1.641180e-14   3.062284e-03   1.470920e-17   1268576
  1.493191e+00   1.612751e-14   3.071552e-03   1.434023e-17   1290128
  1.503822e+00   1.585364e-14   3.068342e-03   1.400376e-17   1307402
  1.514455e+00   1.560638e-14   3.069122e-03   1.368330e-17   1327028
  1.525083e+00   1.531671e-14   3.064970e-03   1.333619e-17   1343648
  1.535711e+00   1.507429e-14   3.070217e-03   1.304487e-17   1364096
  1.546341e+00   1.482329e-14   3.068950e-03   1.277342e-17   1382730
  1.556974e+00   1.457412e-14   3.068757e-03   1.243293e-17   1402164
  1.567604e+00   1.433848e-14   3.068159e-03   1.216109e-17   1420464
  1.578221e+00   1.409413e-14   3.063798e-03   1.190275e-17   1437368
  1.588847e+00   1.389046e-14   3.072142e-03   1.160206e-17   1461530
  1.599480e+00   1.364908e-14   3.065069e-03   1.135930e-17   1478264
  1.610108e+00   1.346338e-14   3.068902e-03   1.112317e-17   1499356
  1.620732e+00   1.324372e-14   3.065238e-03   1.087112e-17   1517016
  1.631360e+00   1.303560e-14   3.070849e-03   1.062622e-17   1540090
  1.641988e+00   1.278922e-14   3.065366e-03   1.037845e-17   1557360
  1.652609e+00   1.265197e-14   3.066926e-03   1.019512e-17   1577780
  1.663242e+00   1.242207e-14   3.075107e-03   9.931975e-18   1602578
  1.673875e+00   1.226419e-14   3.063542e-03   9.761675e-18   1617672
  1.684498e+00   1.208198e-14   3.069033e-03   9.539248e-18   1641016
  1.695122e+00   1.188510e-14   3.065080e-03   9.367831e-18   1659416
  1.705746e+00   1.167601e-14   3.068431e-03   9.095132e-18   1682670
  1.716382e+00   1.151023e-14   3.070690e-03   8.935014e-18   1705256
  1.727024e+00   1.131106e-14   3.071890e-03   8.735239e-18   1726312
  1.737645e+00   1.116662e-14   3.062639e-03   8.593234e-18   1741880
  1.748261e+00   1.099425e-14   3.067156e-03   8.386739e-18   1766454
  1.758897e+00   1.083181e-14   3.073105e-03   8.198325e-18   1791784
  1.769528e+00   1.068353e-14   3.063894e-03   8.065517e-18   1807712
  1.780139e+00   1.053681e-14   3.062775e-03   7.911472e-18   1829002
  1.790759e+00   1.036850e-14   3.067263e-03   7.736372e-18   1854216
  1.801400e+00   1.023898e-14   3.074631e-03   7.575166e-18   1880156
  1.812037e+00   1.006170e-14   3.068349e-03   7.407314e-18   1897568
  1.822663e+00   9.918667e-15   3.068475e-03   7.268453e-18   1920458
  1.833288e+00   9.766707e-15   3.065997e-03   7.120353e-18   1942208
  1.843915e+00   9.621725e-15   3.067813e-03   6.964338e-18   1965612
  1.854544e+00   9.481911e-15   3.069639e-03   6.828638e-18   1989000
  1.865168e+00   9.357735e-15   3.064465e-03   6.705571e-18   2009114
  1.875791e+00   9.224551e-15   3.067400e-03   6.563452e-18   2034464
  1.886424e+00   9.098416e-15   3.070174e-03   6.445198e-18   2058476
  1.897052e+00   8.966450e-15   3.068039e-03   6.314127e-18   2079648
  1.907673e+00   8.827660e-15   3.065891e-03   6.195675e-18   2102578
  1.918306e+00   8.703469e-15   3.070742e-03   6.057370e-18   2129928
  1.928942e+00   8.591482e-15   3.069733e-03   5.953405e-18   2152096
  1.939563e+00   8.468574e-15   3.062858e-03   5.847435e-18   2171142
  1.950185e+00   8.344538e-15   3.069150e-03   5.734432e-18   2200248
  1.960824e+00   8.221171e-15   3.071017e-03   5.606885e-18   2225216
  1.971460e+00   8.120852e-15   3.070942e-03   5.506084e-18   2248448
  1.982084e+00   7.993667e-15   3.064272e-03   5.412793e-18   2267942
  1.992710e+00   7.901140e-15   3.071051e-03   5.304871e-18   2298072
  2.003337e+00   7.782041e-15   3.064068e-03   5.210267e-18   2317272
  2.013961e+00   7.668455e-15   3.069747e-03   5.106633e-18   2345808
