# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.794787
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.450982e-10   1.198114e-03   5.517788e-11   18
  1.686348e-02   2.900919e-10   2.897918e-03   2.770660e-11   152
  2.725284e-02   1.733612e-10   3.060867e-03   8.108290e-12   416
  3.742835e-02   9.491236e-11   2.912555e-03   3.558429e-12   770
  4.808679e-02   5.942883e-11   3.119650e-03   1.744331e-12   1364
  5.876109e-02   3.913089e-11   3.054550e-03   8.907358e-13   1976
  6.939824e-02   2.973101e-11   3.112555e-03   5.654289e-13   2792
  7.984642e-02   2.173922e-11   2.971805e-03   3.681466e-13   3578
  9.038229e-02   1.561868e-11   3.049521e-03   2.301274e-13   4724
  1.011318e-01   1.163568e-11   3.134595e-03   1.532522e-13   6032
  1.117485e-01   9.068859e-12   3.016599e-03   1.115353e-13   7072
  1.222702e-01   7.680129e-12   3.056387e-03   8.444535e-14   8634
  1.329722e-01   6.500211e-12   3.095256e-03   6.541634e-14   10336
  1.436677e-01   5.295420e-12   3.082009e-03   4.795480e-14   11940
  1.541872e-01   4.294619e-12   3.021465e-03   3.795179e-14   13490
  1.647185e-01   3.609252e-12   3.054444e-03   2.864011e-14   15656
  1.754149e-01   3.054440e-12   3.102608e-03   2.280565e-14   18008
  1.860920e-01   2.695538e-12   3.069464e-03   1.914788e-14   19964
  1.966957e-01   2.357654e-12   3.066093e-03   1.593167e-14   22354
  2.072851e-01   2.018210e-12   3.030819e-03   1.289438e-14   24648
  2.179134e-01   1.758568e-12   3.083109e-03   1.053132e-14   27592
  2.285517e-01   1.560388e-12   3.075318e-03   9.076897e-15   30152
  2.391687e-01   1.383368e-12   3.069056e-03   7.744781e-15   33046
  2.497808e-01   1.256285e-12   3.053846e-03   6.677561e-15   35992
  2.604233e-01   1.138393e-12   3.074764e-03   5.828597e-15   39304
  2.710722e-01   1.031107e-12   3.082145e-03   5.020545e-15   42608
  2.817050e-01   9.265965e-13   3.058267e-03   4.373439e-15   45758
  2.923349e-01   8.320071e-13   3.072286e-03   3.810659e-15   49536
  3.029238e-01   7.618505e-13   3.039208e-03   3.349635e-15   52488
  3.135134e-01   7.090778e-13   3.084628e-03   2.999617e-15   57034
  3.241511e-01   6.353774e-13   3.061146e-03   2.601260e-15   60648
  3.347969e-01   5.947028e-13   3.076329e-03   2.361672e-15   65044
