# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.298315
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.243360e-10   1.198114e-03   5.050460e-11   18
  1.686348e-02   2.652167e-10   2.897918e-03   2.532574e-11   152
  2.725284e-02   1.584812e-10   3.060867e-03   7.414158e-12   416
  3.742835e-02   8.667811e-11   2.912555e-03   3.253423e-12   770
  4.808679e-02   5.415330e-11   3.119650e-03   1.590867e-12   1364
  5.876109e-02   3.569255e-11   3.054550e-03   8.132478e-13   1976
  6.939824e-02   2.703717e-11   3.112555e-03   5.146828e-13   2792
  7.984642e-02   1.978281e-11   2.971805e-03   3.341942e-13   3578
  9.038229e-02   1.417238e-11   3.049521e-03   2.090824e-13   4724
  1.011318e-01   1.059341e-11   3.134595e-03   1.394531e-13   6032
  1.117485e-01   8.225595e-12   3.016599e-03   1.018872e-13   7072
  1.222702e-01   6.977870e-12   3.056387e-03   7.713405e-14   8634
  1.329722e-01   5.883231e-12   3.095256e-03   5.977336e-14   10336
  1.436677e-01   4.808082e-12   3.082009e-03   4.386569e-14   11940
  1.541872e-01   3.908048e-12   3.021465e-03   3.477563e-14   13490
  1.647185e-01   3.304574e-12   3.054444e-03   2.646184e-14   15656
  1.754149e-01   2.790512e-12   3.102608e-03   2.101765e-14   18008
  1.860920e-01   2.452839e-12   3.069464e-03   1.768397e-14   19964
  1.966957e-01   2.145324e-12   3.066093e-03   1.471025e-14   22354
  2.072851e-01   1.833853e-12   3.030819e-03   1.188856e-14   24648
  2.179134e-01   1.600493e-12   3.083109e-03   9.726099e-15   27592
  2.285517e-01   1.429395e-12   3.075318e-03   8.524113e-15   30152
  2.391687e-01   1.263338e-12   3.069056e-03   7.260805e-15   33046
  2.497808e-01   1.141865e-12   3.053846e-03   6.215777e-15   35992
  2.604233e-01   1.035353e-12   3.074764e-03   5.443541e-15   39304
  2.710722e-01   9.315205e-13   3.082145e-03   4.672760e-15   42608
  2.817050e-01   8.416135e-13   3.058267e-03   4.094931e-15   45758
  2.923349e-01   7.549294e-13   3.072286e-03   3.565002e-15   49536
  3.029238e-01   6.893389e-13   3.039208e-03   3.152339e-15   52488
  3.135134e-01   6.403213e-13   3.084628e-03   2.814756e-15   57034
  3.241511e-01   5.731140e-13   3.061146e-03   2.445430e-15   60648
  3.347969e-01   5.371331e-13   3.076329e-03   2.236405e-15   65044
  3.454223e-01   4.947237e-13   3.057760e-03   1.993466e-15   68720
  3.560505e-01   4.532786e-13   3.078281e-03   1.784084e-15   73538
  3.667175e-01   4.190498e-13   3.076939e-03   1.608353e-15   78080
  3.773260e-01   3.920305e-13   3.039859e-03   1.481107e-15   81572
  3.879192e-01   3.636485e-13   3.081238e-03   1.347085e-15   87248
  3.985882e-01   3.361877e-13   3.084591e-03   1.204433e-15   92266
  4.092322e-01   3.151103e-13   3.063169e-03   1.110796e-15   96696
