# cross spectrum of phi(z1) and phi(z2)
# redshift z=2.494865
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.684335e-10   1.198114e-03   6.044543e-11   18
  1.686348e-02   3.185031e-10   2.897918e-03   3.044384e-11   152
  2.725284e-02   1.900220e-10   3.060867e-03   8.884126e-12   416
  3.742835e-02   1.041108e-10   2.912555e-03   3.893138e-12   770
  4.808679e-02   6.550425e-11   3.119650e-03   1.919404e-12   1364
  5.876109e-02   4.286661e-11   3.054550e-03   9.739415e-13   1976
  6.939824e-02   3.274149e-11   3.112555e-03   6.246201e-13   2792
  7.984642e-02   2.378370e-11   2.971805e-03   4.091661e-13   3578
  9.038229e-02   1.716111e-11   3.049521e-03   2.550562e-13   4724
  1.011318e-01   1.260881e-11   3.134595e-03   1.675703e-13   6032
  1.117485e-01   9.869719e-12   3.016599e-03   1.204256e-13   7072
  1.222702e-01   8.245787e-12   3.056387e-03   9.102181e-14   8634
  1.329722e-01   7.004454e-12   3.095256e-03   7.027060e-14   10336
  1.436677e-01   5.627310e-12   3.082009e-03   5.128141e-14   11940
  1.541872e-01   4.477229e-12   3.021465e-03   3.988388e-14   13490
  1.647185e-01   3.668865e-12   3.054444e-03   2.938409e-14   15656
  1.754149e-01   3.092108e-12   3.102608e-03   2.363911e-14   18008
  1.860920e-01   2.722943e-12   3.069464e-03   1.971645e-14   19964
  1.966957e-01   2.364357e-12   3.066093e-03   1.615361e-14   22354
  2.072851e-01   2.005228e-12   3.030819e-03   1.316122e-14   24648
  2.179134e-01   1.708315e-12   3.083109e-03   1.056967e-14   27592
  2.285517e-01   1.466888e-12   3.075318e-03   8.627807e-15   30152
  2.391687e-01   1.289412e-12   3.069056e-03   7.319753e-15   33046
  2.497808e-01   1.167945e-12   3.053846e-03   6.445659e-15   35992
  2.604233e-01   1.040547e-12   3.074764e-03   5.467753e-15   39304
  2.710722e-01   9.368153e-13   3.082145e-03   4.713040e-15   42608
  2.817050e-01   8.093354e-13   3.058267e-03   4.013416e-15   45758
  2.923349e-01   7.173202e-13   3.072286e-03   3.427103e-15   49536
  3.029238e-01   6.453183e-13   3.039208e-03   3.020961e-15   52488
  3.135134e-01   5.865849e-13   3.084628e-03   2.631319e-15   57034
  3.241511e-01   5.201057e-13   3.061146e-03   2.257028e-15   60648
  3.347969e-01   4.767981e-13   3.076329e-03   2.023214e-15   65044
  3.454223e-01   4.353051e-13   3.057760e-03   1.781967e-15   68720
  3.560505e-01   3.907915e-13   3.078281e-03   1.559698e-15   73538
  3.667175e-01   3.546785e-13   3.076939e-03   1.380294e-15   78080
  3.773260e-01   3.268597e-13   3.039859e-03   1.251371e-15   81572
  3.879192e-01   2.975969e-13   3.081238e-03   1.111981e-15   87248
  3.985882e-01   2.715952e-13   3.084591e-03   9.937953e-16   92266
  4.092322e-01   2.502077e-13   3.063169e-03   8.991332e-16   96696
  4.198039e-01   2.293960e-13   3.037602e-03   8.142550e-16   100904
  4.303789e-01   2.099426e-13   3.065517e-03   7.323471e-16   107036
  4.410480e-01   1.937809e-13   3.089487e-03   6.539003e-16   113362
  4.517307e-01   1.784252e-13   3.072092e-03   5.971528e-16   118176
  4.623378e-01   1.659820e-13   3.054661e-03   5.497744e-16   122944
  4.729644e-01   1.538595e-13   3.083007e-03   4.946472e-16   129902
  4.836049e-01   1.405460e-13   3.061727e-03   4.484621e-16   134944
  4.942158e-01   1.311046e-13   3.064979e-03   4.127327e-16   140952
  5.048213e-01   1.207677e-13   3.064662e-03   3.783258e-16   147072
  5.154342e-01   1.126260e-13   3.060800e-03   3.451863e-16   153382
  5.260893e-01   1.044822e-13   3.082622e-03   3.160389e-16   160952
  5.367508e-01   9.720693e-14   3.070294e-03   2.898549e-16   166640
  5.473579e-01   9.055349e-14   3.057153e-03   2.707640e-16   172448
  5.579787e-01   8.460769e-14   3.077577e-03   2.464654e-16   180594
  5.686178e-01   7.890886e-14   3.060710e-03   2.291457e-16   186556
  5.792219e-01   7.355430e-14   3.063394e-03   2.130021e-16   193528
  5.898242e-01   6.908995e-14   3.060684e-03   1.986654e-16   200626
  6.004609e-01   6.410248e-14   3.076604e-03   1.823639e-16   209256
  6.111150e-01   6.033627e-14   3.069663e-03   1.694984e-16   216020
  6.217510e-01   5.663011e-14   3.075746e-03   1.585191e-16   223768
  6.323610e-01   5.260229e-14   3.055783e-03   1.474072e-16   230234
  6.429887e-01   4.937113e-14   3.074922e-03   1.370123e-16   239800
  6.536248e-01   4.593736e-14   3.063054e-03   1.273810e-16   246568
  6.642393e-01   4.359160e-14   3.068328e-03   1.197094e-16   254828
  6.748534e-01   4.089372e-14   3.064424e-03   1.110802e-16   263074
  6.854951e-01   3.842366e-14   3.071509e-03   1.043526e-16   272312
  6.961385e-01   3.593743e-14   3.070197e-03   9.760252e-17   280376
  7.067732e-01   3.367216e-14   3.071500e-03   9.181814e-17   288884
  7.174012e-01   3.156326e-14   3.068501e-03   8.573917e-17   297602
  7.280177e-01   2.985882e-14   3.057614e-03   8.103034e-17   305520
  7.386402e-01   2.809581e-14   3.075198e-03   7.577365e-17   315976
  7.492461e-01   2.631587e-14   3.052723e-03   7.160459e-17   322778
  7.598720e-01   2.504620e-14   3.080021e-03   6.759436e-17   335372
  7.705286e-01   2.333177e-14   3.068318e-03   6.355770e-17   343464
  7.811635e-01   2.200388e-14   3.070705e-03   5.943638e-17   352912
  7.917934e-01   2.077725e-14   3.070498e-03   5.651202e-17   362666
  8.024224e-01   1.962930e-14   3.063690e-03   5.358847e-17   371884
  8.130465e-01   1.848846e-14   3.069929e-03   5.064189e-17   382280
  8.236583e-01   1.754353e-14   3.060755e-03   4.802080e-17   390888
  8.342648e-01   1.638525e-14   3.067168e-03   4.513643e-17   402234
  8.448912e-01   1.540763e-14   3.064832e-03   4.277723e-17   412576
  8.555263e-01   1.462217e-14   3.071788e-03   4.059594e-17   423732
  8.661590e-01   1.382932e-14   3.068142e-03   3.869624e-17   433624
  8.767950e-01   1.302361e-14   3.072203e-03   3.653968e-17   445154
  8.874347e-01   1.225788e-14   3.069139e-03   3.484899e-17   455584
  8.980596e-01   1.158275e-14   3.064716e-03   3.306888e-17   465588
  9.086714e-01   1.093822e-14   3.065163e-03   3.135667e-17   476762
  9.193048e-01   1.034435e-14   3.073106e-03   2.988394e-17   489552
  9.299472e-01   9.778708e-15   3.069632e-03   2.851681e-17   500328
  9.405628e-01   9.261872e-15   3.059261e-03   2.734972e-17   509852
  9.511854e-01   8.705255e-15   3.074339e-03   2.590238e-17   524234
  9.618189e-01   8.323865e-15   3.061952e-03   2.481912e-17   534104
  9.724448e-01   7.780008e-15   3.070528e-03   2.367886e-17   547048
  9.830800e-01   7.411585e-15   3.073862e-03   2.262580e-17   559328
  9.937180e-01   6.987580e-15   3.070866e-03   2.165122e-17   571326
  1.004339e+00   6.576043e-15   3.060367e-03   2.070552e-17   581920
  1.014951e+00   6.213343e-15   3.064588e-03   1.975885e-17   594832
  1.025571e+00   5.897190e-15   3.068054e-03   1.894406e-17   608048
  1.036206e+00   5.616107e-15   3.070252e-03   1.806960e-17   621526
  1.046839e+00   5.295310e-15   3.066112e-03   1.735677e-17   633240
  1.057456e+00   4.966690e-15   3.064953e-03   1.668941e-17   645472
  1.068086e+00   4.788570e-15   3.075342e-03   1.603221e-17   660906
  1.078726e+00   4.468732e-15   3.067576e-03   1.533802e-17   672856
  1.089356e+00   4.221512e-15   3.067094e-03   1.474458e-17   685980
  1.099980e+00   4.024552e-15   3.067978e-03   1.413617e-17   699256
  1.110619e+00   3.765018e-15   3.074976e-03   1.354673e-17   714730
  1.121246e+00   3.603783e-15   3.059348e-03   1.306034e-17   725152
  1.131863e+00   3.395989e-15   3.067634e-03   1.253322e-17   740420
  1.142485e+00   3.214732e-15   3.069089e-03   1.204893e-17   754312
  1.153114e+00   3.044049e-15   3.069897e-03   1.161185e-17   769114
