# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.799277
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.614249e-10   1.198114e-03   5.885724e-11   18
  1.686348e-02   3.098448e-10   2.897918e-03   2.960302e-11   152
  2.725284e-02   1.850893e-10   3.060867e-03   8.654675e-12   416
  3.742835e-02   1.014160e-10   2.912555e-03   3.797049e-12   770
  4.808679e-02   6.366647e-11   3.119650e-03   1.866933e-12   1364
  5.876109e-02   4.182437e-11   3.054550e-03   9.510782e-13   1976
  6.939824e-02   3.188029e-11   3.112555e-03   6.065187e-13   2792
  7.984642e-02   2.325850e-11   2.971805e-03   3.962375e-13   3578
  9.038229e-02   1.675629e-11   3.049521e-03   2.473365e-13   4724
  1.011318e-01   1.240945e-11   3.134595e-03   1.639648e-13   6032
  1.117485e-01   9.704229e-12   3.016599e-03   1.186068e-13   7072
  1.222702e-01   8.178224e-12   3.056387e-03   8.976738e-14   8634
  1.329722e-01   6.944723e-12   3.095256e-03   6.943300e-14   10336
  1.436677e-01   5.623888e-12   3.082009e-03   5.080952e-14   11940
  1.541872e-01   4.529144e-12   3.021465e-03   3.995225e-14   13490
  1.647185e-01   3.764755e-12   3.054444e-03   2.979633e-14   15656
  1.754149e-01   3.186894e-12   3.102608e-03   2.384110e-14   18008
  1.860920e-01   2.815951e-12   3.069464e-03   1.993865e-14   19964
  1.966957e-01   2.458128e-12   3.066093e-03   1.651394e-14   22354
  2.072851e-01   2.100500e-12   3.030819e-03   1.341866e-14   24648
  2.179134e-01   1.816441e-12   3.083109e-03   1.089282e-14   27592
  2.285517e-01   1.589318e-12   3.075318e-03   9.125301e-15   30152
  2.391687e-01   1.408781e-12   3.069056e-03   7.776524e-15   33046
  2.497808e-01   1.282621e-12   3.053846e-03   6.799974e-15   35992
  2.604233e-01   1.155342e-12   3.074764e-03   5.857562e-15   39304
  2.710722e-01   1.048245e-12   3.082145e-03   5.063523e-15   42608
  2.817050e-01   9.285803e-13   3.058267e-03   4.367708e-15   45758
  2.923349e-01   8.310734e-13   3.072286e-03   3.785160e-15   49536
  3.029238e-01   7.572724e-13   3.039208e-03   3.318237e-15   52488
  3.135134e-01   7.014240e-13   3.084628e-03   2.951436e-15   57034
  3.241511e-01   6.268676e-13   3.061146e-03   2.545238e-15   60648
  3.347969e-01   5.821528e-13   3.076329e-03   2.291928e-15   65044
  3.454223e-01   5.382675e-13   3.057760e-03   2.042372e-15   68720
