# cross spectrum of phi(z1) and phi(z2)
# redshift z=0.199585
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.268906e-10   1.198114e-03   5.108403e-11   18
  1.686348e-02   2.684106e-10   2.897918e-03   2.563816e-11   152
  2.725284e-02   1.602516e-10   3.060867e-03   7.498212e-12   416
  3.742835e-02   8.755872e-11   2.912555e-03   3.287193e-12   770
  4.808679e-02   5.465905e-11   3.119650e-03   1.608686e-12   1364
  5.876109e-02   3.583261e-11   3.054550e-03   8.193214e-13   1976
  6.939824e-02   2.709648e-11   3.112555e-03   5.186904e-13   2792
  7.984642e-02   1.969467e-11   2.971805e-03   3.370352e-13   3578
  9.038229e-02   1.401983e-11   3.049521e-03   2.095973e-13   4724
  1.011318e-01   1.034578e-11   3.134595e-03   1.392889e-13   6032
  1.117485e-01   7.979007e-12   3.016599e-03   1.008132e-13   7072
  1.222702e-01   6.690333e-12   3.056387e-03   7.588358e-14   8634
  1.329722e-01   5.587682e-12   3.095256e-03   5.841754e-14   10336
  1.436677e-01   4.497628e-12   3.082009e-03   4.266711e-14   11940
  1.541872e-01   3.584707e-12   3.021465e-03   3.348389e-14   13490
  1.647185e-01   2.969315e-12   3.054444e-03   2.516830e-14   15656
  1.754149e-01   2.464911e-12   3.102608e-03   1.983502e-14   18008
  1.860920e-01   2.133768e-12   3.069464e-03   1.652332e-14   19964
  1.966957e-01   1.834658e-12   3.066093e-03   1.370153e-14   22354
  2.072851e-01   1.534335e-12   3.030819e-03   1.100978e-14   24648
  2.179134e-01   1.303833e-12   3.083109e-03   8.864826e-15   27592
  2.285517e-01   1.129860e-12   3.075318e-03   7.614425e-15   30152
  2.391687e-01   9.790416e-13   3.069056e-03   6.416552e-15   33046
  2.497808e-01   8.691027e-13   3.053846e-03   5.506135e-15   35992
  2.604233e-01   7.662261e-13   3.074764e-03   4.761070e-15   39304
  2.710722e-01   6.747501e-13   3.082145e-03   4.049027e-15   42608
  2.817050e-01   5.890267e-13   3.058267e-03   3.496840e-15   45758
  2.923349e-01   5.097800e-13   3.072286e-03   3.016799e-15   49536
  3.029238e-01   4.543130e-13   3.039208e-03   2.633447e-15   52488
  3.135134e-01   4.088607e-13   3.084628e-03   2.336300e-15   57034
  3.241511e-01   3.529706e-13   3.061146e-03   2.008647e-15   60648
  3.347969e-01   3.210628e-13   3.076329e-03   1.810599e-15   65044
  3.454223e-01   2.866219e-13   3.057760e-03   1.607735e-15   68720
  3.560505e-01   2.526223e-13   3.078281e-03   1.424423e-15   73538
  3.667175e-01   2.270441e-13   3.076939e-03   1.281052e-15   78080
  3.773260e-01   2.055412e-13   3.039859e-03   1.165160e-15   81572
  3.879192e-01   1.826217e-13   3.081238e-03   1.042404e-15   87248
  3.985882e-01   1.616891e-13   3.084591e-03   9.323923e-16   92266
  4.092322e-01   1.472824e-13   3.063169e-03   8.545489e-16   96696
  4.198039e-01   1.302934e-13   3.037602e-03   7.745219e-16   100904
  4.303789e-01   1.186962e-13   3.065517e-03   7.036735e-16   107036
  4.410480e-01   1.075336e-13   3.089487e-03   6.368037e-16   113362
  4.517307e-01   9.606311e-14   3.072092e-03   5.834653e-16   118176
  4.623378e-01   8.624692e-14   3.054661e-03   5.433750e-16   122944
  4.729644e-01   7.807251e-14   3.083007e-03   4.981934e-16   129902
  4.836049e-01   6.960268e-14   3.061727e-03   4.560334e-16   134944
  4.942158e-01   6.412168e-14   3.064979e-03   4.245974e-16   140952
  5.048213e-01   5.637777e-14   3.064662e-03   3.924763e-16   147072
  5.154342e-01   5.099788e-14   3.060800e-03   3.627882e-16   153382
  5.260893e-01   4.569503e-14   3.082622e-03   3.357703e-16   160952
  5.367508e-01   4.141228e-14   3.070294e-03   3.132668e-16   166640
  5.473579e-01   3.871296e-14   3.057153e-03   2.933439e-16   172448
  5.579787e-01   3.423111e-14   3.077577e-03   2.735880e-16   180594
  5.686178e-01   3.114761e-14   3.060710e-03   2.558944e-16   186556
  5.792219e-01   2.832356e-14   3.063394e-03   2.388620e-16   193528
  5.898242e-01   2.495864e-14   3.060684e-03   2.244120e-16   200626
  6.004609e-01   2.300674e-14   3.076604e-03   2.086823e-16   209256
  6.111150e-01   2.072172e-14   3.069663e-03   1.976115e-16   216020
  6.217510e-01   1.879722e-14   3.075746e-03   1.864997e-16   223768
  6.323610e-01   1.675198e-14   3.055783e-03   1.762487e-16   230234
  6.429887e-01   1.527901e-14   3.074922e-03   1.652071e-16   239800
  6.536248e-01   1.397689e-14   3.063054e-03   1.564631e-16   246568
  6.642393e-01   1.290537e-14   3.068328e-03   1.494179e-16   254828
  6.748534e-01   1.151210e-14   3.064424e-03   1.400495e-16   263074
  6.854951e-01   1.010063e-14   3.071509e-03   1.326153e-16   272312
  6.961385e-01   9.467332e-15   3.070197e-03   1.262745e-16   280376
  7.067732e-01   8.521212e-15   3.071500e-03   1.199248e-16   288884
  7.174012e-01   7.394434e-15   3.068501e-03   1.134338e-16   297602
  7.280177e-01   7.124030e-15   3.057614e-03   1.085632e-16   305520
  7.386402e-01   6.505848e-15   3.075198e-03   1.026785e-16   315976
  7.492461e-01   5.507828e-15   3.052723e-03   9.875194e-17   322778
  7.598720e-01   5.159208e-15   3.080021e-03   9.373840e-17   335372
  7.705286e-01   4.713926e-15   3.068318e-03   8.875038e-17   343464
  7.811635e-01   4.368493e-15   3.070705e-03   8.482710e-17   352912
  7.917934e-01   3.890260e-15   3.070498e-03   8.133672e-17   362666
  8.024224e-01   3.659298e-15   3.063690e-03   7.749404e-17   371884
  8.130465e-01   3.143657e-15   3.069929e-03   7.412464e-17   382280
  8.236583e-01   2.962885e-15   3.060755e-03   7.112076e-17   390888
  8.342648e-01   2.701368e-15   3.067168e-03   6.819665e-17   402234
  8.448912e-01   2.171513e-15   3.064832e-03   6.529864e-17   412576
  8.555263e-01   2.205641e-15   3.071788e-03   6.233374e-17   423732
  8.661590e-01   1.871731e-15   3.068142e-03   6.002024e-17   433624
  8.767950e-01   1.777947e-15   3.072203e-03   5.726382e-17   445154
  8.874347e-01   1.628656e-15   3.069139e-03   5.489605e-17   455584
  8.980596e-01   1.450794e-15   3.064716e-03   5.297873e-17   465588
  9.086714e-01   1.392636e-15   3.065163e-03   5.075177e-17   476762
  9.193048e-01   1.226214e-15   3.073106e-03   4.892163e-17   489552
  9.299472e-01   1.215924e-15   3.069632e-03   4.707450e-17   500328
  9.405628e-01   1.074477e-15   3.059261e-03   4.519276e-17   509852
  9.511854e-01   9.837559e-16   3.074339e-03   4.335669e-17   524234
  9.618189e-01   8.460427e-16   3.061952e-03   4.190813e-17   534104
  9.724448e-01   8.024565e-16   3.070528e-03   4.010228e-17   547048
  9.830800e-01   6.329338e-16   3.073862e-03   3.888601e-17   559328
  9.937180e-01   6.961636e-16   3.070866e-03   3.741854e-17   571326
  1.004339e+00   6.127548e-16   3.060367e-03   3.628003e-17   581920
  1.014951e+00   5.208204e-16   3.064588e-03   3.485556e-17   594832
  1.025571e+00   5.458530e-16   3.068054e-03   3.369248e-17   608048
  1.036206e+00   4.880391e-16   3.070252e-03   3.244737e-17   621526
  1.046839e+00   4.387687e-16   3.066112e-03   3.132057e-17   633240
  1.057456e+00   4.589646e-16   3.064953e-03   3.031449e-17   645472
  1.068086e+00   4.064518e-16   3.075342e-03   2.927754e-17   660906
  1.078726e+00   4.140757e-16   3.067576e-03   2.835073e-17   672856
  1.089356e+00   3.419526e-16   3.067094e-03   2.729190e-17   685980
  1.099980e+00   3.535451e-16   3.067978e-03   2.644199e-17   699256
  1.110619e+00   3.257506e-16   3.074976e-03   2.550073e-17   714730
  1.121246e+00   3.653379e-16   3.059348e-03   2.479802e-17   725152
  1.131863e+00   3.163519e-16   3.067634e-03   2.390263e-17   740420
  1.142485e+00   2.383041e-16   3.069089e-03   2.321344e-17   754312
  1.153114e+00   2.050190e-16   3.069897e-03   2.247786e-17   769114
  1.163749e+00   2.183658e-16   3.069209e-03   2.173973e-17   783488
  1.174365e+00   2.324007e-16   3.058900e-03   2.106465e-17   794968
  1.184981e+00   2.274452e-16   3.070107e-03   2.042298e-17   812366
  1.195609e+00   1.885575e-16   3.065134e-03   1.983885e-17   825976
  1.206250e+00   1.765872e-16   3.075220e-03   1.923246e-17   843352
  1.216898e+00   1.313677e-16   3.073224e-03   1.869345e-17   857280
  1.227524e+00   1.984373e-16   3.063189e-03   1.816523e-17   869542
  1.238147e+00   1.412453e-16   3.070752e-03   1.755081e-17   887128
  1.248772e+00   1.734050e-16   3.063166e-03   1.708515e-17   900032
  1.259388e+00   1.367620e-16   3.067377e-03   1.653840e-17   916560
  1.270005e+00   1.248330e-16   3.061783e-03   1.608528e-17   930922
  1.280635e+00   1.246883e-16   3.071795e-03   1.555608e-17   949844
  1.291287e+00   1.697273e-16   3.076939e-03   1.513612e-17   966736
  1.301925e+00   9.763931e-17   3.065819e-03   1.474230e-17   978776
  1.312537e+00   1.099842e-16   3.064137e-03   1.431923e-17   994522
  1.323161e+00   8.856629e-17   3.068907e-03   1.393311e-17   1012420
  1.333794e+00   7.879319e-17   3.071598e-03   1.353678e-17   1029408
  1.344410e+00   9.646032e-17   3.058405e-03   1.317680e-17   1041658
  1.355032e+00   1.269932e-16   3.072381e-03   1.277177e-17   1063520
  1.365659e+00   9.260877e-17   3.060689e-03   1.246451e-17   1075808
  1.376294e+00   9.642069e-17   3.080019e-03   1.211005e-17   1098956
  1.386928e+00   8.762240e-17   3.061670e-03   1.179436e-17   1109810
  1.397545e+00   7.817928e-17   3.065288e-03   1.145725e-17   1128608
  1.408178e+00   4.569460e-17   3.073589e-03   1.122284e-17   1148264
  1.418813e+00   7.947929e-17   3.067917e-03   1.089618e-17   1163252
  1.429436e+00   6.751655e-17   3.067070e-03   1.059672e-17   1181042
  1.440060e+00   6.121763e-17   3.064325e-03   1.032524e-17   1197848
  1.450692e+00   5.569191e-17   3.073737e-03   1.007093e-17   1218848
  1.461323e+00   6.790807e-17   3.064859e-03   9.812748e-18   1232916
  1.471945e+00   6.698906e-17   3.068844e-03   9.540770e-18   1253002
  1.482566e+00   5.656532e-17   3.062284e-03   9.298275e-18   1268576
  1.493191e+00   3.092473e-17   3.071552e-03   9.083386e-18   1290128
  1.503822e+00   5.234066e-17   3.068342e-03   8.864897e-18   1307402
  1.514455e+00   6.296466e-17   3.069122e-03   8.604689e-18   1327028
  1.525083e+00   5.920832e-17   3.064970e-03   8.448653e-18   1343648
  1.535711e+00   3.644199e-17   3.070217e-03   8.217252e-18   1364096
  1.546341e+00   4.819479e-17   3.068950e-03   8.016898e-18   1382730
  1.556974e+00   5.045392e-17   3.068757e-03   7.830930e-18   1402164
  1.567604e+00   4.513767e-17   3.068159e-03   7.624906e-18   1420464
  1.578221e+00   3.879948e-17   3.063798e-03   7.439579e-18   1437368
  1.588847e+00   7.919185e-18   3.072142e-03   7.256738e-18   1461530
  1.599480e+00   3.938322e-17   3.065069e-03   7.074396e-18   1478264
  1.610108e+00   3.202035e-17   3.068902e-03   6.934089e-18   1499356
  1.620732e+00   6.297558e-17   3.065238e-03   6.737017e-18   1517016
  1.631360e+00   1.901109e-17   3.070849e-03   6.599922e-18   1540090
  1.641988e+00   1.336790e-17   3.065366e-03   6.451744e-18   1557360
  1.652609e+00   2.603875e-17   3.066926e-03   6.286120e-18   1577780
  1.663242e+00   2.891566e-17   3.075107e-03   6.133440e-18   1602578
  1.673875e+00   4.907961e-17   3.063542e-03   6.028694e-18   1617672
  1.684498e+00   2.336258e-17   3.069033e-03   5.887991e-18   1641016
